,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
472,Neither Yolanda or Robert is a chess player,Yolanda is not a chess player,0.821,0.095,0.084,entailment,Robert is not a chess player,0.827,0.078,0.096,entailment,0.035,Neither Robert or Yolanda is a chess player,Yolanda is not a chess player,0.773,0.100,0.127,entailment,Robert is not a chess player,0.860,0.092,0.048,entailment,0.175,0.095,0.096,0.191
473,Neither Janet or Terrell is a soldier,Janet is not a soldier,0.855,0.107,0.037,entailment,Terrell is not a soldier,0.815,0.134,0.051,entailment,0.081,Neither Terrell or Janet is a soldier,Janet is not a soldier,0.828,0.106,0.066,entailment,Terrell is not a soldier,0.883,0.094,0.023,entailment,0.110,0.058,0.136,0.194
474,Neither Bai or Cadan is a cook,Bai is not a cook,0.780,0.152,0.068,entailment,Cadan is not a cook,0.824,0.116,0.061,entailment,0.088,Neither Cadan or Bai is a cook,Bai is not a cook,0.774,0.162,0.064,entailment,Cadan is not a cook,0.830,0.119,0.051,entailment,0.112,0.020,0.020,0.040
475,Neither Lily or Cazar is a clerk,Lily is not a clerk,0.841,0.109,0.050,entailment,Cazar is not a clerk,0.710,0.122,0.169,entailment,0.263,Neither Cazar or Lily is a clerk,Lily is not a clerk,0.777,0.125,0.098,entailment,Cazar is not a clerk,0.786,0.118,0.096,entailment,0.019,0.129,0.153,0.282
476,Neither Sharon or Scott is a mathematician,Sharon is not a mathematician,0.869,0.102,0.029,entailment,Scott is not a mathematician,0.825,0.113,0.063,entailment,0.089,Neither Scott or Sharon is a mathematician,Sharon is not a mathematician,0.811,0.117,0.072,entailment,Scott is not a mathematician,0.869,0.097,0.033,entailment,0.117,0.116,0.089,0.205
477,Neither Benny or Juan is a bartender,Benny is not a bartender,0.863,0.080,0.057,entailment,Juan is not a bartender,0.785,0.096,0.119,entailment,0.156,Neither Juan or Benny is a bartender,Benny is not a bartender,0.779,0.110,0.110,entailment,Juan is not a bartender,0.837,0.096,0.067,entailment,0.116,0.167,0.105,0.272
478,Neither Sharon or Jim is a civil,Sharon is not a civil,0.855,0.092,0.053,entailment,Jim is not a civil,0.762,0.169,0.069,entailment,0.185,Neither Jim or Sharon is a civil,Sharon is not a civil,0.675,0.171,0.154,entailment,Jim is not a civil,0.877,0.096,0.027,entailment,0.403,0.359,0.229,0.588
479,Neither Ebony or Trevon is a historian,Ebony is not a historian,0.786,0.162,0.053,entailment,Trevon is not a historian,0.793,0.097,0.111,entailment,0.130,Neither Trevon or Ebony is a historian,Ebony is not a historian,0.759,0.163,0.078,entailment,Trevon is not a historian,0.838,0.116,0.046,entailment,0.159,0.054,0.129,0.183
480,Neither Sally or Denny is a musician,Sally is not a musician,0.765,0.138,0.097,entailment,Denny is not a musician,0.695,0.109,0.196,entailment,0.199,Neither Denny or Sally is a musician,Sally is not a musician,0.708,0.134,0.158,entailment,Denny is not a musician,0.793,0.108,0.099,entailment,0.170,0.122,0.196,0.319
481,Neither Tanisha or Billy is a physicist,Tanisha is not a physicist,0.834,0.107,0.059,entailment,Billy is not a physicist,0.838,0.095,0.067,entailment,0.023,Neither Billy or Tanisha is a physicist,Tanisha is not a physicist,0.749,0.104,0.147,entailment,Billy is not a physicist,0.886,0.083,0.031,entailment,0.273,0.176,0.096,0.271
482,Neither Candace or Silas is a chemist,Candace is not a chemist,0.823,0.114,0.062,entailment,Silas is not a chemist,0.776,0.111,0.113,entailment,0.101,Neither Silas or Candace is a chemist,Candace is not a chemist,0.800,0.108,0.092,entailment,Silas is not a chemist,0.835,0.104,0.061,entailment,0.071,0.058,0.119,0.177
483,Neither Maya or Tyresse is a receptionist,Maya is not a receptionist,0.925,0.050,0.025,entailment,Tyresse is not a receptionist,0.819,0.062,0.119,entailment,0.212,Neither Tyresse or Maya is a receptionist,Maya is not a receptionist,0.877,0.061,0.062,entailment,Tyresse is not a receptionist,0.883,0.060,0.057,entailment,0.012,0.096,0.128,0.225
484,Neither Monique or Silas is an athlete,Monique is not an athlete,0.866,0.077,0.057,entailment,Silas is not an athlete,0.844,0.091,0.065,entailment,0.044,Neither Silas or Monique is an athlete,Monique is not an athlete,0.815,0.087,0.098,entailment,Silas is not an athlete,0.866,0.081,0.053,entailment,0.102,0.102,0.044,0.147
485,Neither Jen or Javier is an arts,Jen is not an arts,0.846,0.109,0.045,entailment,Javier is not an arts,0.824,0.135,0.041,entailment,0.051,Neither Javier or Jen is an arts,Jen is not an arts,0.723,0.165,0.112,entailment,Javier is not an arts,0.865,0.101,0.034,entailment,0.285,0.246,0.082,0.328
486,Neither Claire or Micheal is a postman,Claire is not a postman,0.892,0.064,0.045,entailment,Micheal is not a postman,0.846,0.077,0.077,entailment,0.091,Neither Micheal or Claire is a postman,Claire is not a postman,0.881,0.066,0.053,entailment,Micheal is not a postman,0.899,0.069,0.032,entailment,0.042,0.021,0.107,0.128
487,Neither Kassidy or Edward is a director,Kassidy is not a director,0.919,0.057,0.024,entailment,Edward is not a director,0.909,0.059,0.032,entailment,0.020,Neither Edward or Kassidy is a director,Kassidy is not a director,0.856,0.079,0.065,entailment,Edward is not a director,0.927,0.054,0.019,entailment,0.142,0.126,0.036,0.162
488,Neither Tuppence or Jake is a mechanic,Tuppence is not a mechanic,0.853,0.115,0.033,entailment,Jake is not a mechanic,0.883,0.083,0.035,entailment,0.063,Neither Jake or Tuppence is a mechanic,Tuppence is not a mechanic,0.842,0.102,0.056,entailment,Jake is not a mechanic,0.903,0.076,0.021,entailment,0.122,0.046,0.041,0.087
489,Neither Nina or Cadan is an opera singer,Nina is not an opera singer,0.850,0.086,0.064,entailment,Cadan is not an opera singer,0.855,0.090,0.055,entailment,0.018,Neither Cadan or Nina is an opera singer,Nina is not an opera singer,0.825,0.082,0.093,entailment,Cadan is not an opera singer,0.858,0.084,0.058,entailment,0.069,0.057,0.012,0.069
490,Neither Carla or Aaron is an electrician,Carla is not an electrician,0.868,0.074,0.058,entailment,Aaron is not an electrician,0.858,0.060,0.082,entailment,0.049,Neither Aaron or Carla is an electrician,Carla is not an electrician,0.795,0.097,0.109,entailment,Aaron is not an electrician,0.937,0.044,0.018,entailment,0.286,0.147,0.159,0.307
491,Neither Kia or Kariem is an auditor,Kia is not an auditor,0.779,0.132,0.090,entailment,Kariem is not an auditor,0.813,0.117,0.070,entailment,0.070,Neither Kariem or Kia is an auditor,Kia is not an auditor,0.723,0.150,0.127,entailment,Kariem is not an auditor,0.823,0.127,0.050,entailment,0.199,0.110,0.039,0.150
492,Neither Cathy or Scott is a mover,Cathy is not a mover,0.901,0.077,0.022,entailment,Scott is not a mover,0.894,0.086,0.020,entailment,0.019,Neither Scott or Cathy is a mover,Cathy is not a mover,0.745,0.197,0.059,entailment,Scott is not a mover,0.930,0.063,0.007,entailment,0.370,0.313,0.072,0.385
493,Neither Erica or Jamel is a counselor,Erica is not a counselor,0.863,0.072,0.065,entailment,Jamel is not a counselor,0.687,0.096,0.217,entailment,0.353,Neither Jamel or Erica is a counselor,Erica is not a counselor,0.747,0.083,0.170,entailment,Jamel is not a counselor,0.816,0.088,0.096,entailment,0.148,0.233,0.259,0.491
494,Neither Tanisha or Tom is a mechanic,Tanisha is not a mechanic,0.862,0.093,0.045,entailment,Tom is not a mechanic,0.831,0.126,0.043,entailment,0.066,Neither Tom or Tanisha is a mechanic,Tanisha is not a mechanic,0.798,0.090,0.112,entailment,Tom is not a mechanic,0.856,0.118,0.026,entailment,0.171,0.133,0.050,0.184
495,Neither Heather or Tom is a hostess,Heather is not a hostess,0.887,0.075,0.038,entailment,Tom is not a hostess,0.748,0.141,0.111,entailment,0.279,Neither Tom or Heather is a hostess,Heather is not a hostess,0.807,0.125,0.067,entailment,Tom is not a hostess,0.843,0.112,0.046,entailment,0.070,0.160,0.189,0.349
496,Neither Megan or David is a swimmer,Megan is not a swimmer,0.860,0.105,0.035,entailment,David is not a swimmer,0.832,0.114,0.054,entailment,0.057,Neither David or Megan is a swimmer,Megan is not a swimmer,0.743,0.137,0.120,entailment,David is not a swimmer,0.871,0.104,0.026,entailment,0.254,0.233,0.077,0.311
497,Neither Jen or D'quan is an auditor,Jen is not an auditor,0.845,0.115,0.040,entailment,D'quan is not an auditor,0.818,0.116,0.066,entailment,0.054,Neither D'quan or Jen is an auditor,Jen is not an auditor,0.776,0.128,0.096,entailment,D'quan is not an auditor,0.829,0.110,0.061,entailment,0.105,0.137,0.022,0.159
498,Neither Kassandra or Cadan is a coach,Kassandra is not a coach,0.875,0.077,0.048,entailment,Cadan is not a coach,0.827,0.083,0.090,entailment,0.096,Neither Cadan or Kassandra is a coach,Kassandra is not a coach,0.840,0.079,0.082,entailment,Cadan is not a coach,0.812,0.075,0.113,entailment,0.062,0.070,0.046,0.117
499,Neither Benny or Sam is an entrepreneur,Benny is not an entrepreneur,0.879,0.083,0.038,entailment,Sam is not an entrepreneur,0.798,0.124,0.078,entailment,0.161,Neither Sam or Benny is an entrepreneur,Benny is not an entrepreneur,0.801,0.114,0.086,entailment,Sam is not an entrepreneur,0.859,0.094,0.047,entailment,0.116,0.155,0.122,0.277
500,Neither Tricia or Edward is a judge,Tricia is not a judge,0.776,0.111,0.113,entailment,Edward is not a judge,0.873,0.070,0.057,entailment,0.194,Neither Edward or Tricia is a judge,Tricia is not a judge,0.566,0.153,0.282,entailment,Edward is not a judge,0.914,0.067,0.019,entailment,0.697,0.420,0.082,0.503
501,Neither Susie or Jones is an analyst,Susie is not an analyst,0.857,0.076,0.067,entailment,Jones is not an analyst,0.806,0.121,0.073,entailment,0.101,Neither Jones or Susie is an analyst,Susie is not an analyst,0.753,0.091,0.156,entailment,Jones is not an analyst,0.868,0.097,0.035,entailment,0.240,0.207,0.123,0.330
502,Neither Anne or Jaleel is a designer,Anne is not a designer,0.798,0.127,0.075,entailment,Jaleel is not a designer,0.647,0.101,0.251,entailment,0.352,Neither Jaleel or Anne is a designer,Anne is not a designer,0.690,0.146,0.164,entailment,Jaleel is not a designer,0.808,0.099,0.092,entailment,0.236,0.216,0.322,0.538
503,Neither Susie or Val is a carpenter,Susie is not a carpenter,0.898,0.082,0.020,entailment,Val is not a carpenter,0.825,0.127,0.047,entailment,0.144,Neither Val or Susie is a carpenter,Susie is not a carpenter,0.866,0.090,0.043,entailment,Val is not a carpenter,0.886,0.096,0.019,entailment,0.049,0.063,0.120,0.183
504,Neither Tanisha or Bill is a commander,Tanisha is not a commander,0.859,0.096,0.045,entailment,Bill is not a commander,0.798,0.122,0.080,entailment,0.122,Neither Bill or Tanisha is a commander,Tanisha is not a commander,0.779,0.107,0.114,entailment,Bill is not a commander,0.861,0.099,0.040,entailment,0.164,0.159,0.127,0.286
505,Neither Jenna or Mack is a prosecutor,Jenna is not a prosecutor,0.886,0.081,0.033,entailment,Mack is not a prosecutor,0.802,0.132,0.067,entailment,0.169,Neither Mack or Jenna is a prosecutor,Jenna is not a prosecutor,0.829,0.084,0.087,entailment,Mack is not a prosecutor,0.873,0.100,0.026,entailment,0.121,0.114,0.143,0.257
506,Neither Heather or Billy is an assistant,Heather is not an assistant,0.878,0.078,0.044,entailment,Billy is not an assistant,0.727,0.121,0.152,entailment,0.302,Neither Billy or Heather is an assistant,Heather is not an assistant,0.720,0.128,0.153,entailment,Billy is not an assistant,0.859,0.092,0.048,entailment,0.280,0.316,0.265,0.581
507,Neither Shannon or Zack is a police officer,Shannon is not a police officer,0.920,0.049,0.031,entailment,Zack is not a police officer,0.856,0.080,0.065,entailment,0.128,Neither Zack or Shannon is a police officer,Shannon is not a police officer,0.854,0.080,0.066,entailment,Zack is not a police officer,0.916,0.054,0.031,entailment,0.124,0.132,0.120,0.252
508,Neither Lisa or D'quan is an attourney,Lisa is not an attourney,0.848,0.128,0.024,entailment,D'quan is not an attourney,0.825,0.117,0.058,entailment,0.068,Neither D'quan or Lisa is an attourney,Lisa is not an attourney,0.712,0.225,0.063,entailment,D'quan is not an attourney,0.791,0.128,0.081,entailment,0.195,0.271,0.068,0.338
509,Neither Lara or Adrin is an agent,Lara is not an agent,0.885,0.086,0.029,entailment,Adrin is not an agent,0.831,0.107,0.062,entailment,0.108,Neither Adrin or Lara is an agent,Lara is not an agent,0.842,0.104,0.054,entailment,Adrin is not an agent,0.882,0.079,0.040,entailment,0.079,0.086,0.102,0.187
510,Neither Janet or Ramon is a radiologist,Janet is not a radiologist,0.856,0.093,0.051,entailment,Ramon is not a radiologist,0.753,0.079,0.168,entailment,0.235,Neither Ramon or Janet is a radiologist,Janet is not a radiologist,0.779,0.091,0.131,entailment,Ramon is not a radiologist,0.875,0.070,0.056,entailment,0.191,0.159,0.244,0.403
511,Neither Shelly or Won San Lee is a janitor,Shelly is not a janitor,0.862,0.109,0.029,entailment,Won San Lee is not a janitor,0.830,0.093,0.076,entailment,0.095,Neither Won San Lee or Shelly is a janitor,Shelly is not a janitor,0.672,0.143,0.185,entailment,Won San Lee is not a janitor,0.790,0.087,0.123,entailment,0.236,0.380,0.093,0.473
512,Neither Claire or Lamar is a businessperson,Claire is not a businessperson,0.870,0.081,0.049,entailment,Lamar is not a businessperson,0.830,0.094,0.076,entailment,0.079,Neither Lamar or Claire is a businessperson,Claire is not a businessperson,0.791,0.106,0.103,entailment,Lamar is not a businessperson,0.896,0.081,0.023,entailment,0.211,0.158,0.132,0.290
513,Neither Katherine or DeShawn is a soldier,Katherine is not a soldier,0.872,0.105,0.023,entailment,DeShawn is not a soldier,0.784,0.130,0.086,entailment,0.175,Neither DeShawn or Katherine is a soldier,Katherine is not a soldier,0.860,0.097,0.043,entailment,DeShawn is not a soldier,0.860,0.087,0.052,entailment,0.020,0.039,0.152,0.191
514,Neither Tricia or Steve is a prosecutor,Tricia is not a prosecutor,0.817,0.123,0.060,entailment,Steve is not a prosecutor,0.880,0.083,0.037,entailment,0.126,Neither Steve or Tricia is a prosecutor,Tricia is not a prosecutor,0.719,0.140,0.141,entailment,Steve is not a prosecutor,0.905,0.077,0.018,entailment,0.372,0.197,0.049,0.245
515,Neither Benny or Jorge is a scientist,Benny is not a scientist,0.871,0.093,0.036,entailment,Jorge is not a scientist,0.821,0.098,0.082,entailment,0.100,Neither Jorge or Benny is a scientist,Benny is not a scientist,0.796,0.119,0.085,entailment,Jorge is not a scientist,0.853,0.102,0.045,entailment,0.115,0.150,0.073,0.223
516,Neither Tessa or Trevon is a performing artist,Tessa is not a performing artist,0.844,0.088,0.068,entailment,Trevon is not a performing artist,0.898,0.054,0.049,entailment,0.107,Neither Trevon or Tessa is a performing artist,Tessa is not a performing artist,0.807,0.085,0.109,entailment,Trevon is not a performing artist,0.916,0.047,0.037,entailment,0.220,0.081,0.037,0.119
517,Neither Sharon or Lamar is a comedian,Sharon is not a comedian,0.832,0.089,0.079,entailment,Lamar is not a comedian,0.761,0.118,0.121,entailment,0.143,Neither Lamar or Sharon is a comedian,Sharon is not a comedian,0.777,0.097,0.125,entailment,Lamar is not a comedian,0.873,0.091,0.036,entailment,0.192,0.109,0.225,0.334
518,Neither Raven or Scott is a chess player,Raven is not a chess player,0.878,0.081,0.041,entailment,Scott is not a chess player,0.859,0.077,0.064,entailment,0.045,Neither Scott or Raven is a chess player,Raven is not a chess player,0.839,0.101,0.061,entailment,Scott is not a chess player,0.881,0.082,0.038,entailment,0.085,0.079,0.053,0.131
519,Neither Brittany or Won Lee is a construction worker,Brittany is not a construction worker,0.908,0.076,0.015,entailment,Won Lee is not a construction worker,0.838,0.073,0.089,entailment,0.148,Neither Won Lee or Brittany is a construction worker,Brittany is not a construction worker,0.899,0.070,0.031,entailment,Won Lee is not a construction worker,0.896,0.060,0.044,entailment,0.025,0.032,0.115,0.147
520,Neither Cynthia or Jamie is a researcher,Cynthia is not a researcher,0.854,0.104,0.042,entailment,Jamie is not a researcher,0.710,0.125,0.166,entailment,0.288,Neither Jamie or Cynthia is a researcher,Cynthia is not a researcher,0.841,0.105,0.054,entailment,Jamie is not a researcher,0.849,0.106,0.045,entailment,0.018,0.025,0.280,0.305
521,Neither Veronica or Timmy is an athlete,Veronica is not an athlete,0.938,0.046,0.016,entailment,Timmy is not an athlete,0.858,0.080,0.062,entailment,0.159,Neither Timmy or Veronica is an athlete,Veronica is not an athlete,0.873,0.076,0.050,entailment,Timmy is not an athlete,0.921,0.057,0.022,entailment,0.095,0.129,0.124,0.253
522,Neither Maggie or Kwame is a cook,Maggie is not a cook,0.839,0.133,0.027,entailment,Kwame is not a cook,0.847,0.092,0.062,entailment,0.083,Neither Kwame or Maggie is a cook,Maggie is not a cook,0.842,0.127,0.032,entailment,Kwame is not a cook,0.873,0.096,0.031,entailment,0.064,0.013,0.062,0.075
523,Neither Kassandra or Eddie is a cook,Kassandra is not a cook,0.864,0.097,0.039,entailment,Eddie is not a cook,0.885,0.098,0.017,entailment,0.045,Neither Eddie or Kassandra is a cook,Kassandra is not a cook,0.786,0.116,0.098,entailment,Eddie is not a cook,0.909,0.079,0.012,entailment,0.246,0.156,0.047,0.203
524,Neither Greta or Marcus is a professor,Greta is not a professor,0.795,0.093,0.113,entailment,Marcus is not a professor,0.768,0.106,0.126,entailment,0.054,Neither Marcus or Greta is a professor,Greta is not a professor,0.696,0.101,0.203,entailment,Marcus is not a professor,0.846,0.103,0.051,entailment,0.304,0.197,0.157,0.354
525,Neither Anita or Rajeev is a cleaner,Anita is not a cleaner,0.898,0.084,0.018,entailment,Rajeev is not a cleaner,0.845,0.104,0.051,entailment,0.107,Neither Rajeev or Anita is a cleaner,Anita is not a cleaner,0.845,0.116,0.040,entailment,Rajeev is not a cleaner,0.880,0.088,0.032,entailment,0.070,0.107,0.071,0.177
526,Neither Wendy or Mack is a medical student,Wendy is not a medical student,0.814,0.057,0.129,entailment,Mack is not a medical student,0.739,0.095,0.166,entailment,0.150,Neither Mack or Wendy is a medical student,Wendy is not a medical student,0.784,0.064,0.152,entailment,Mack is not a medical student,0.815,0.078,0.107,entailment,0.090,0.061,0.151,0.212
527,Neither Olga or Greg is a delivery,Olga is not a delivery,0.838,0.105,0.057,entailment,Greg is not a delivery,0.826,0.126,0.048,entailment,0.043,Neither Greg or Olga is a delivery,Olga is not a delivery,0.791,0.129,0.080,entailment,Greg is not a delivery,0.858,0.116,0.026,entailment,0.136,0.096,0.065,0.160
528,Neither Precious or Cody is a composer,Precious is not a composer,0.883,0.074,0.043,entailment,Cody is not a composer,0.816,0.089,0.095,entailment,0.133,Neither Cody or Precious is a composer,Precious is not a composer,0.805,0.087,0.107,entailment,Cody is not a composer,0.856,0.099,0.045,entailment,0.124,0.156,0.099,0.255
529,Neither Benny or Bill is a CEO,Benny is not a CEO,0.941,0.041,0.019,entailment,Bill is not a CEO,0.899,0.055,0.046,entailment,0.084,Neither Bill or Benny is a CEO,Benny is not a CEO,0.912,0.057,0.031,entailment,Bill is not a CEO,0.930,0.051,0.020,entailment,0.036,0.059,0.061,0.120
530,Neither Shiloh or Brady is a chief,Shiloh is not a chief,0.891,0.077,0.032,entailment,Brady is not a chief,0.871,0.083,0.046,entailment,0.038,Neither Brady or Shiloh is a chief,Shiloh is not a chief,0.848,0.084,0.068,entailment,Brady is not a chief,0.911,0.069,0.020,entailment,0.127,0.085,0.080,0.165
531,Neither Marianne or Alan is a physician,Marianne is not a physician,0.835,0.108,0.056,entailment,Alan is not a physician,0.729,0.120,0.151,entailment,0.213,Neither Alan or Marianne is a physician,Marianne is not a physician,0.730,0.130,0.141,entailment,Alan is not a physician,0.864,0.091,0.045,entailment,0.268,0.211,0.270,0.481
532,Neither Tricia or Timmy is a singer,Tricia is not a singer,0.843,0.090,0.067,entailment,Timmy is not a singer,0.891,0.065,0.044,entailment,0.096,Neither Timmy or Tricia is a singer,Tricia is not a singer,0.729,0.113,0.158,entailment,Timmy is not a singer,0.918,0.057,0.025,entailment,0.378,0.229,0.053,0.282
533,Neither Candace or Jose is a baker,Candace is not a baker,0.791,0.119,0.090,entailment,Jose is not a baker,0.748,0.104,0.148,entailment,0.116,Neither Jose or Candace is a baker,Candace is not a baker,0.604,0.148,0.248,entailment,Jose is not a baker,0.843,0.114,0.043,entailment,0.478,0.375,0.210,0.585
534,Neither Marianne or Cole is a swimmer,Marianne is not a swimmer,0.854,0.107,0.039,entailment,Cole is not a swimmer,0.827,0.126,0.047,entailment,0.055,Neither Cole or Marianne is a swimmer,Marianne is not a swimmer,0.836,0.103,0.061,entailment,Cole is not a swimmer,0.881,0.091,0.029,entailment,0.090,0.044,0.108,0.152
535,Neither Jenna or Kevin is a commander,Jenna is not a commander,0.896,0.082,0.023,entailment,Kevin is not a commander,0.838,0.093,0.069,entailment,0.114,Neither Kevin or Jenna is a commander,Jenna is not a commander,0.814,0.115,0.072,entailment,Kevin is not a commander,0.905,0.076,0.020,entailment,0.182,0.164,0.132,0.296
536,Neither Grace or Andrew is a chess player,Grace is not a chess player,0.870,0.090,0.040,entailment,Andrew is not a chess player,0.803,0.115,0.082,entailment,0.135,Neither Andrew or Grace is a chess player,Grace is not a chess player,0.841,0.117,0.043,entailment,Andrew is not a chess player,0.873,0.102,0.025,entailment,0.064,0.059,0.140,0.199
537,Neither Shelly or Jose is a butler,Shelly is not a butler,0.810,0.114,0.076,entailment,Jose is not a butler,0.758,0.146,0.096,entailment,0.104,Neither Jose or Shelly is a butler,Shelly is not a butler,0.622,0.188,0.190,entailment,Jose is not a butler,0.805,0.146,0.049,entailment,0.366,0.376,0.094,0.470
538,Neither Dawn or Kariem is a butcher,Dawn is not a butcher,0.857,0.109,0.034,entailment,Kariem is not a butcher,0.812,0.103,0.085,entailment,0.102,Neither Kariem or Dawn is a butcher,Dawn is not a butcher,0.834,0.116,0.050,entailment,Kariem is not a butcher,0.835,0.112,0.052,entailment,0.007,0.045,0.066,0.111
539,Neither Cathy or Aaron is a tailor,Cathy is not a tailor,0.842,0.125,0.033,entailment,Aaron is not a tailor,0.825,0.098,0.077,entailment,0.088,Neither Aaron or Cathy is a tailor,Cathy is not a tailor,0.762,0.171,0.066,entailment,Aaron is not a tailor,0.884,0.096,0.020,entailment,0.244,0.159,0.119,0.278
540,Neither Janice or Chen Wee is a chef,Janice is not a chef,0.810,0.109,0.081,entailment,Chen Wee is not a chef,0.793,0.069,0.138,entailment,0.113,Neither Chen Wee or Janice is a chef,Janice is not a chef,0.762,0.100,0.138,entailment,Chen Wee is not a chef,0.856,0.069,0.075,entailment,0.187,0.113,0.126,0.239
541,Neither Vrenna or Vince is an author,Vrenna is not an author,0.840,0.073,0.086,entailment,Vince is not an author,0.866,0.065,0.070,entailment,0.050,Neither Vince or Vrenna is an author,Vrenna is not an author,0.799,0.073,0.127,entailment,Vince is not an author,0.907,0.056,0.037,entailment,0.216,0.082,0.083,0.165
542,Neither Sara or Kevin is a physicist,Sara is not a physicist,0.886,0.083,0.031,entailment,Kevin is not a physicist,0.787,0.104,0.109,entailment,0.198,Neither Kevin or Sara is a physicist,Sara is not a physicist,0.808,0.113,0.079,entailment,Kevin is not a physicist,0.877,0.086,0.037,entailment,0.138,0.156,0.180,0.337
543,Neither Maggie or Cazar is a dealer,Maggie is not a dealer,0.879,0.102,0.019,entailment,Cazar is not a dealer,0.804,0.124,0.071,entailment,0.149,Neither Cazar or Maggie is a dealer,Maggie is not a dealer,0.844,0.121,0.035,entailment,Cazar is not a dealer,0.848,0.112,0.040,entailment,0.017,0.070,0.086,0.156
544,Neither Sue or Won Lee is a researcher,Sue is not a researcher,0.824,0.126,0.050,entailment,Won Lee is not a researcher,0.825,0.086,0.089,entailment,0.082,Neither Won Lee or Sue is a researcher,Sue is not a researcher,0.767,0.163,0.070,entailment,Won Lee is not a researcher,0.852,0.084,0.064,entailment,0.171,0.114,0.054,0.168
545,Neither Tricia or Chen Wee is a lawyer,Tricia is not a lawyer,0.838,0.116,0.046,entailment,Chen Wee is not a lawyer,0.886,0.075,0.038,entailment,0.096,Neither Chen Wee or Tricia is a lawyer,Tricia is not a lawyer,0.801,0.101,0.098,entailment,Chen Wee is not a lawyer,0.899,0.066,0.034,entailment,0.197,0.105,0.026,0.131
546,Neither Shelly or Sam is an umpire,Shelly is not an umpire,0.885,0.081,0.034,entailment,Sam is not an umpire,0.870,0.095,0.034,entailment,0.029,Neither Sam or Shelly is an umpire,Shelly is not an umpire,0.745,0.140,0.115,entailment,Sam is not an umpire,0.917,0.067,0.016,entailment,0.344,0.280,0.094,0.373
547,Neither Joan or Sudeep is a butcher,Joan is not a butcher,0.825,0.147,0.028,entailment,Sudeep is not a butcher,0.823,0.106,0.070,entailment,0.084,Neither Sudeep or Joan is a butcher,Joan is not a butcher,0.818,0.134,0.047,entailment,Sudeep is not a butcher,0.875,0.090,0.035,entailment,0.113,0.039,0.103,0.142
548,Neither Molly or DeShawn is a guard,Molly is not a guard,0.870,0.089,0.041,entailment,DeShawn is not a guard,0.765,0.114,0.121,entailment,0.209,Neither DeShawn or Molly is a guard,Molly is not a guard,0.824,0.119,0.057,entailment,DeShawn is not a guard,0.866,0.077,0.057,entailment,0.085,0.092,0.201,0.293
549,Neither Carla or John is an electrician,Carla is not an electrician,0.881,0.071,0.048,entailment,John is not an electrician,0.894,0.071,0.036,entailment,0.026,Neither John or Carla is an electrician,Carla is not an electrician,0.735,0.113,0.152,entailment,John is not an electrician,0.931,0.057,0.012,entailment,0.392,0.292,0.075,0.367
550,Neither Vrenna or Andrew is a builder,Vrenna is not a builder,0.880,0.093,0.027,entailment,Andrew is not a builder,0.867,0.099,0.034,entailment,0.025,Neither Andrew or Vrenna is a builder,Vrenna is not a builder,0.842,0.109,0.050,entailment,Andrew is not a builder,0.884,0.106,0.009,entailment,0.085,0.076,0.049,0.125
551,Neither Claire or Jamie is an engineer,Claire is not an engineer,0.881,0.101,0.018,entailment,Jamie is not an engineer,0.846,0.111,0.043,entailment,0.071,Neither Jamie or Claire is an engineer,Claire is not an engineer,0.845,0.128,0.027,entailment,Jamie is not an engineer,0.878,0.100,0.021,entailment,0.067,0.072,0.066,0.138
552,Neither Claire or Cadan is a scientist,Claire is not a scientist,0.846,0.111,0.042,entailment,Cadan is not a scientist,0.754,0.130,0.117,entailment,0.185,Neither Cadan or Claire is a scientist,Claire is not a scientist,0.799,0.111,0.090,entailment,Cadan is not a scientist,0.823,0.116,0.062,entailment,0.056,0.095,0.138,0.233
553,Neither Maya or Louis is a linguist,Maya is not a linguist,0.847,0.081,0.073,entailment,Louis is not a linguist,0.792,0.100,0.107,entailment,0.109,Neither Louis or Maya is a linguist,Maya is not a linguist,0.771,0.102,0.128,entailment,Louis is not a linguist,0.828,0.108,0.064,entailment,0.128,0.152,0.087,0.240
554,Neither Tuppence or Jim is an athlete,Tuppence is not an athlete,0.819,0.115,0.065,entailment,Jim is not an athlete,0.864,0.086,0.050,entailment,0.089,Neither Jim or Tuppence is an athlete,Tuppence is not an athlete,0.835,0.094,0.072,entailment,Jim is not an athlete,0.916,0.064,0.020,entailment,0.163,0.043,0.104,0.147
555,Neither Lily or Jose is a cleaner,Lily is not a cleaner,0.828,0.113,0.060,entailment,Jose is not a cleaner,0.778,0.106,0.116,entailment,0.113,Neither Jose or Lily is a cleaner,Lily is not a cleaner,0.620,0.153,0.227,entailment,Jose is not a cleaner,0.878,0.088,0.034,entailment,0.515,0.414,0.200,0.615
556,Neither Cathy or Fred is a professor,Cathy is not a professor,0.824,0.093,0.083,entailment,Fred is not a professor,0.696,0.102,0.202,entailment,0.257,Neither Fred or Cathy is a professor,Cathy is not a professor,0.714,0.124,0.162,entailment,Fred is not a professor,0.855,0.095,0.050,entailment,0.283,0.222,0.318,0.540
