,prem,hypo1,hypo2,score1,score2,diff
195,Either Jacques or Ellen are a firefighter,Jacques is a firefighter,Ellen is a firefighter,"{'entailment': '0.66', 'neutral': '0.23', 'contradiction': '0.10'}","{'entailment': '0.58', 'neutral': '0.33', 'contradiction': '0.09'}",0.19000000000000009
38,Either Alfred or Jennifer are a dancer,Alfred is a dancer,Jennifer is a dancer,"{'entailment': '0.68', 'neutral': '0.23', 'contradiction': '0.09'}","{'entailment': '0.58', 'neutral': '0.32', 'contradiction': '0.09'}",0.19000000000000009
434,Either Tyresse or Sarah are a linguist,Tyresse is a linguist,Sarah is a linguist,"{'entailment': '0.67', 'neutral': '0.27', 'contradiction': '0.07'}","{'entailment': '0.57', 'neutral': '0.35', 'contradiction': '0.08'}",0.19000000000000006
153,Either Edward or Raven are a detective,Edward is a detective,Raven is a detective,"{'entailment': '0.38', 'neutral': '0.45', 'contradiction': '0.17'}","{'entailment': '0.47', 'neutral': '0.46', 'contradiction': '0.08'}",0.19
425,Either Charles or Julie are an aeronautical engineer,Charles is an aeronautical engineer,Julie is an aeronautical engineer,"{'entailment': '0.39', 'neutral': '0.49', 'contradiction': '0.11'}","{'entailment': '0.49', 'neutral': '0.42', 'contradiction': '0.09'}",0.19
69,Either Bob or Tasha are a broker,Bob is a broker,Tasha is a broker,"{'entailment': '0.63', 'neutral': '0.29', 'contradiction': '0.08'}","{'entailment': '0.56', 'neutral': '0.38', 'contradiction': '0.05'}",0.18999999999999997
477,Either Shane or Lea are a politician,Shane is a politician,Lea is a politician,"{'entailment': '0.74', 'neutral': '0.22', 'contradiction': '0.05'}","{'entailment': '0.64', 'neutral': '0.29', 'contradiction': '0.07'}",0.18999999999999995
317,Either Dave or Lena are a farmer,Dave is a farmer,Lena is a farmer,"{'entailment': '0.48', 'neutral': '0.37', 'contradiction': '0.15'}","{'entailment': '0.55', 'neutral': '0.39', 'contradiction': '0.06'}",0.18000000000000008
200,Either Micheal or Edith are an attourney,Micheal is an attourney,Edith is an attourney,"{'entailment': '0.55', 'neutral': '0.34', 'contradiction': '0.11'}","{'entailment': '0.46', 'neutral': '0.40', 'contradiction': '0.14'}",0.18000000000000005
486,Either Thomas or Raven are an employee,Thomas is an employee,Raven is an employee,"{'entailment': '0.62', 'neutral': '0.25', 'contradiction': '0.13'}","{'entailment': '0.60', 'neutral': '0.34', 'contradiction': '0.06'}",0.18000000000000005
103,Either Brent or Maya are a boxer,Brent is a boxer,Maya is a boxer,"{'entailment': '0.46', 'neutral': '0.36', 'contradiction': '0.18'}","{'entailment': '0.55', 'neutral': '0.30', 'contradiction': '0.15'}",0.18000000000000002
111,Either Jeff or Carrie are a coach,Jeff is a coach,Carrie is a coach,"{'entailment': '0.35', 'neutral': '0.44', 'contradiction': '0.21'}","{'entailment': '0.44', 'neutral': '0.38', 'contradiction': '0.18'}",0.18000000000000002
77,Either Billy or Tina are a radiologist,Billy is a radiologist,Tina is a radiologist,"{'entailment': '0.59', 'neutral': '0.23', 'contradiction': '0.18'}","{'entailment': '0.59', 'neutral': '0.32', 'contradiction': '0.09'}",0.18
275,Either Tony or Monica are a mover,Tony is a mover,Monica is a mover,"{'entailment': '0.11', 'neutral': '0.77', 'contradiction': '0.12'}","{'entailment': '0.14', 'neutral': '0.68', 'contradiction': '0.18'}",0.18
76,Either Mark or Shiloh are an employment,Mark is an employment,Shiloh is an employment,"{'entailment': '0.72', 'neutral': '0.18', 'contradiction': '0.10'}","{'entailment': '0.64', 'neutral': '0.27', 'contradiction': '0.09'}",0.18
407,Either Ronald or Benny are a physicist,Ronald is a physicist,Benny is a physicist,"{'entailment': '0.62', 'neutral': '0.27', 'contradiction': '0.11'}","{'entailment': '0.53', 'neutral': '0.33', 'contradiction': '0.14'}",0.18
338,Either Connor or Kassidy are a pianist,Connor is a pianist,Kassidy is a pianist,"{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.05'}","{'entailment': '0.83', 'neutral': '0.13', 'contradiction': '0.04'}",0.17999999999999997
351,Either Ben or Susie are a comedian,Ben is a comedian,Susie is a comedian,"{'entailment': '0.71', 'neutral': '0.22', 'contradiction': '0.07'}","{'entailment': '0.62', 'neutral': '0.31', 'contradiction': '0.07'}",0.17999999999999997
169,Either Tammy or Amy are a gambler,Tammy is a gambler,Amy is a gambler,"{'entailment': '0.31', 'neutral': '0.61', 'contradiction': '0.07'}","{'entailment': '0.22', 'neutral': '0.70', 'contradiction': '0.07'}",0.17999999999999997
302,Either Carl or Joyce are a barber,Carl is a barber,Joyce is a barber,"{'entailment': '0.60', 'neutral': '0.29', 'contradiction': '0.11'}","{'entailment': '0.69', 'neutral': '0.22', 'contradiction': '0.09'}",0.17999999999999994
224,Either Aaron or Jill are a police officer,Aaron is a police officer,Jill is a police officer,"{'entailment': '0.71', 'neutral': '0.18', 'contradiction': '0.11'}","{'entailment': '0.66', 'neutral': '0.27', 'contradiction': '0.07'}",0.17999999999999994
251,Either Dustin or Cheryl are a commander,Dustin is a commander,Cheryl is a commander,"{'entailment': '0.71', 'neutral': '0.17', 'contradiction': '0.12'}","{'entailment': '0.65', 'neutral': '0.26', 'contradiction': '0.09'}",0.17999999999999994
398,Either Eugene or Cindy are a chemist,Eugene is a chemist,Cindy is a chemist,"{'entailment': '0.69', 'neutral': '0.23', 'contradiction': '0.08'}","{'entailment': '0.62', 'neutral': '0.32', 'contradiction': '0.06'}",0.17999999999999994
412,Either Anse or Candy are a diplomat,Anse is a diplomat,Candy is a diplomat,"{'entailment': '0.71', 'neutral': '0.20', 'contradiction': '0.09'}","{'entailment': '0.65', 'neutral': '0.29', 'contradiction': '0.06'}",0.1799999999999999
211,Either Andrew or Veronica are a designer,Andrew is a designer,Veronica is a designer,"{'entailment': '0.57', 'neutral': '0.22', 'contradiction': '0.20'}","{'entailment': '0.62', 'neutral': '0.26', 'contradiction': '0.12'}",0.17000000000000007
404,Either William or Tarnisha are a drawer,William is a drawer,Tarnisha is a drawer,"{'entailment': '0.59', 'neutral': '0.18', 'contradiction': '0.22'}","{'entailment': '0.68', 'neutral': '0.17', 'contradiction': '0.15'}",0.17000000000000007
148,Either Wesley or Joan are an executive,Wesley is an executive,Joan is an executive,"{'entailment': '0.62', 'neutral': '0.29', 'contradiction': '0.09'}","{'entailment': '0.57', 'neutral': '0.37', 'contradiction': '0.05'}",0.17000000000000004
489,Either James or Beth are a surgeon,James is a surgeon,Beth is a surgeon,"{'entailment': '0.46', 'neutral': '0.38', 'contradiction': '0.17'}","{'entailment': '0.44', 'neutral': '0.46', 'contradiction': '0.10'}",0.17000000000000004
43,Either Chang Lee or Sara are a photographer,Chang Lee is a photographer,Sara is a photographer,"{'entailment': '0.81', 'neutral': '0.13', 'contradiction': '0.06'}","{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.04'}",0.17000000000000004
54,Either Joe or Sally are a construction worker,Joe is a construction worker,Sally is a construction worker,"{'entailment': '0.84', 'neutral': '0.13', 'contradiction': '0.03'}","{'entailment': '0.76', 'neutral': '0.20', 'contradiction': '0.05'}",0.16999999999999998
228,Either Eugene or Heather are a handyman,Eugene is a handyman,Heather is a handyman,"{'entailment': '0.71', 'neutral': '0.24', 'contradiction': '0.05'}","{'entailment': '0.62', 'neutral': '0.32', 'contradiction': '0.05'}",0.16999999999999998
212,Either Russ or Diamond are a counselor,Russ is a counselor,Diamond is a counselor,"{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.08'}","{'entailment': '0.68', 'neutral': '0.27', 'contradiction': '0.06'}",0.16999999999999998
56,Either Andy or Claire are an artist,Andy is an artist,Claire is an artist,"{'entailment': '0.51', 'neutral': '0.28', 'contradiction': '0.22'}","{'entailment': '0.59', 'neutral': '0.26', 'contradiction': '0.15'}",0.16999999999999998
321,Either Steve or Bai are a model,Steve is a model,Bai is a model,"{'entailment': '0.50', 'neutral': '0.36', 'contradiction': '0.15'}","{'entailment': '0.43', 'neutral': '0.34', 'contradiction': '0.23'}",0.16999999999999998
385,Either Gabriel or Bai are a radiologist,Gabriel is a radiologist,Bai is a radiologist,"{'entailment': '0.65', 'neutral': '0.21', 'contradiction': '0.15'}","{'entailment': '0.71', 'neutral': '0.23', 'contradiction': '0.06'}",0.16999999999999996
438,Either Jerry or Katherine are an attendant,Jerry is an attendant,Katherine is an attendant,"{'entailment': '0.60', 'neutral': '0.27', 'contradiction': '0.14'}","{'entailment': '0.51', 'neutral': '0.32', 'contradiction': '0.17'}",0.16999999999999996
483,Either Laquan or Tina are a delivery,Laquan is a delivery,Tina is a delivery,"{'entailment': '0.82', 'neutral': '0.12', 'contradiction': '0.07'}","{'entailment': '0.73', 'neutral': '0.15', 'contradiction': '0.12'}",0.16999999999999996
93,Either Alfred or Janice are a lawyer,Alfred is a lawyer,Janice is a lawyer,"{'entailment': '0.81', 'neutral': '0.13', 'contradiction': '0.06'}","{'entailment': '0.73', 'neutral': '0.20', 'contradiction': '0.07'}",0.1600000000000001
348,Either Alan or Joyce are a cleric,Alan is a cleric,Joyce is a cleric,"{'entailment': '0.47', 'neutral': '0.40', 'contradiction': '0.13'}","{'entailment': '0.54', 'neutral': '0.32', 'contradiction': '0.14'}",0.1600000000000001
53,Either Tammy or Craig are an actor,Tammy is an actor,Craig is an actor,"{'entailment': '0.66', 'neutral': '0.25', 'contradiction': '0.08'}","{'entailment': '0.59', 'neutral': '0.33', 'contradiction': '0.07'}",0.1600000000000001
128,Either Chen or Marie are a cleric,Chen is a cleric,Marie is a cleric,"{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.08'}","{'entailment': '0.69', 'neutral': '0.26', 'contradiction': '0.05'}",0.16000000000000006
474,Either Chang Lee or Ebony are a manager,Chang Lee is a manager,Ebony is a manager,"{'entailment': '0.78', 'neutral': '0.13', 'contradiction': '0.09'}","{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.05'}",0.16000000000000003
182,Either DeAndre or Shevon are a boxer,DeAndre is a boxer,Shevon is a boxer,"{'entailment': '0.46', 'neutral': '0.45', 'contradiction': '0.09'}","{'entailment': '0.38', 'neutral': '0.49', 'contradiction': '0.13'}",0.16
213,Either Charlie or Patricia are a sheriff,Charlie is a sheriff,Patricia is a sheriff,"{'entailment': '0.38', 'neutral': '0.42', 'contradiction': '0.20'}","{'entailment': '0.46', 'neutral': '0.37', 'contradiction': '0.17'}",0.16
377,Either Dale or Laura are a soldier,Dale is a soldier,Laura is a soldier,"{'entailment': '0.50', 'neutral': '0.38', 'contradiction': '0.12'}","{'entailment': '0.44', 'neutral': '0.46', 'contradiction': '0.10'}",0.16
450,Either Terrell or Jill are a butcher,Terrell is a butcher,Jill is a butcher,"{'entailment': '0.78', 'neutral': '0.14', 'contradiction': '0.08'}","{'entailment': '0.86', 'neutral': '0.08', 'contradiction': '0.06'}",0.15999999999999998
415,Either Jon or Anne are an inspector,Jon is an inspector,Anne is an inspector,"{'entailment': '0.41', 'neutral': '0.36', 'contradiction': '0.23'}","{'entailment': '0.49', 'neutral': '0.34', 'contradiction': '0.17'}",0.15999999999999998
290,Either Jafari or Anne are a chess player,Jafari is a chess player,Anne is a chess player,"{'entailment': '0.86', 'neutral': '0.10', 'contradiction': '0.04'}","{'entailment': '0.78', 'neutral': '0.17', 'contradiction': '0.05'}",0.15999999999999998
391,Either Cody or Lisa are a secretary,Cody is a secretary,Lisa is a secretary,"{'entailment': '0.55', 'neutral': '0.28', 'contradiction': '0.17'}","{'entailment': '0.63', 'neutral': '0.20', 'contradiction': '0.17'}",0.15999999999999998
124,Either Russ or Shevon are a butcher,Russ is a butcher,Shevon is a butcher,"{'entailment': '0.67', 'neutral': '0.21', 'contradiction': '0.11'}","{'entailment': '0.76', 'neutral': '0.16', 'contradiction': '0.09'}",0.15999999999999998
25,Either Mack or Beth are an electrician,Mack is an electrician,Beth is an electrician,"{'entailment': '0.71', 'neutral': '0.24', 'contradiction': '0.05'}","{'entailment': '0.64', 'neutral': '0.32', 'contradiction': '0.04'}",0.15999999999999998
341,Either James or Beyonce are a dancer,James is a dancer,Beyonce is a dancer,"{'entailment': '0.45', 'neutral': '0.42', 'contradiction': '0.13'}","{'entailment': '0.53', 'neutral': '0.39', 'contradiction': '0.08'}",0.15999999999999998
328,Either Anse or Shelly are a lawn mower,Anse is a lawn mower,Shelly is a lawn mower,"{'entailment': '0.94', 'neutral': '0.04', 'contradiction': '0.02'}","{'entailment': '0.86', 'neutral': '0.10', 'contradiction': '0.04'}",0.15999999999999995
394,Either Joseph or Samantha are a swimmer,Joseph is a swimmer,Samantha is a swimmer,"{'entailment': '0.55', 'neutral': '0.41', 'contradiction': '0.04'}","{'entailment': '0.63', 'neutral': '0.33', 'contradiction': '0.04'}",0.15999999999999992
479,Either Ethan or Craig are a professor,Ethan is a professor,Craig is a professor,"{'entailment': '0.49', 'neutral': '0.33', 'contradiction': '0.18'}","{'entailment': '0.55', 'neutral': '0.35', 'contradiction': '0.11'}",0.15000000000000002
340,Either David or Brenda are an aeronautical engineer,David is an aeronautical engineer,Brenda is an aeronautical engineer,"{'entailment': '0.35', 'neutral': '0.53', 'contradiction': '0.11'}","{'entailment': '0.43', 'neutral': '0.50', 'contradiction': '0.07'}",0.15000000000000002
392,Either Mark or Nina are a guitarist,Mark is a guitarist,Nina is a guitarist,"{'entailment': '0.64', 'neutral': '0.25', 'contradiction': '0.11'}","{'entailment': '0.65', 'neutral': '0.31', 'contradiction': '0.03'}",0.15000000000000002
8,Either Adrin or Kristy are a historian,Adrin is a historian,Kristy is a historian,"{'entailment': '0.41', 'neutral': '0.49', 'contradiction': '0.10'}","{'entailment': '0.34', 'neutral': '0.56', 'contradiction': '0.09'}",0.15000000000000002
313,Either Val or Ellen are a poet,Val is a poet,Ellen is a poet,"{'entailment': '0.61', 'neutral': '0.29', 'contradiction': '0.09'}","{'entailment': '0.54', 'neutral': '0.35', 'contradiction': '0.11'}",0.14999999999999997
127,Either James or Lily are a software engineer,James is a software engineer,Lily is a software engineer,"{'entailment': '0.34', 'neutral': '0.56', 'contradiction': '0.10'}","{'entailment': '0.33', 'neutral': '0.64', 'contradiction': '0.04'}",0.14999999999999997
315,Either Marcus or Yolanda are a model,Marcus is a model,Yolanda is a model,"{'entailment': '0.49', 'neutral': '0.38', 'contradiction': '0.12'}","{'entailment': '0.57', 'neutral': '0.32', 'contradiction': '0.11'}",0.14999999999999997
282,Either Shawn or Kathy are a surgeon,Shawn is a surgeon,Kathy is a surgeon,"{'entailment': '0.45', 'neutral': '0.34', 'contradiction': '0.21'}","{'entailment': '0.50', 'neutral': '0.37', 'contradiction': '0.14'}",0.14999999999999994
417,Either Joey or Jennifer are a security guard,Joey is a security guard,Jennifer is a security guard,"{'entailment': '0.80', 'neutral': '0.13', 'contradiction': '0.07'}","{'entailment': '0.73', 'neutral': '0.20', 'contradiction': '0.07'}",0.14000000000000007
72,Either Tommy or Shaniqua are a grocer,Tommy is a grocer,Shaniqua is a grocer,"{'entailment': '0.72', 'neutral': '0.20', 'contradiction': '0.08'}","{'entailment': '0.79', 'neutral': '0.14', 'contradiction': '0.07'}",0.14000000000000007
441,Either Spence or Ellen are a cook,Spence is a cook,Ellen is a cook,"{'entailment': '0.65', 'neutral': '0.26', 'contradiction': '0.09'}","{'entailment': '0.59', 'neutral': '0.33', 'contradiction': '0.08'}",0.14000000000000007
442,Either Anse or Abigail are a firefighter,Anse is a firefighter,Abigail is a firefighter,"{'entailment': '0.78', 'neutral': '0.18', 'contradiction': '0.04'}","{'entailment': '0.72', 'neutral': '0.25', 'contradiction': '0.03'}",0.14000000000000007
451,Either Malik or Greta are a laborer,Malik is a laborer,Greta is a laborer,"{'entailment': '0.81', 'neutral': '0.14', 'contradiction': '0.05'}","{'entailment': '0.74', 'neutral': '0.20', 'contradiction': '0.06'}",0.14000000000000007
367,Either Nell or Anne are a prosecutor,Nell is a prosecutor,Anne is a prosecutor,"{'entailment': '0.66', 'neutral': '0.22', 'contradiction': '0.12'}","{'entailment': '0.59', 'neutral': '0.29', 'contradiction': '0.12'}",0.14000000000000004
418,Either Gus or Ellen are a lawyer,Gus is a lawyer,Ellen is a lawyer,"{'entailment': '0.53', 'neutral': '0.25', 'contradiction': '0.22'}","{'entailment': '0.55', 'neutral': '0.30', 'contradiction': '0.15'}",0.14
472,Either Denny or Candace are an aeronautical engineer,Denny is an aeronautical engineer,Candace is an aeronautical engineer,"{'entailment': '0.62', 'neutral': '0.26', 'contradiction': '0.12'}","{'entailment': '0.62', 'neutral': '0.33', 'contradiction': '0.05'}",0.14
319,Either Jamal or Juliette are a poet,Jamal is a poet,Juliette is a poet,"{'entailment': '0.68', 'neutral': '0.27', 'contradiction': '0.05'}","{'entailment': '0.61', 'neutral': '0.30', 'contradiction': '0.09'}",0.14
90,Either Michael or Tanisha are an illustrator,Michael is an illustrator,Tanisha is an illustrator,"{'entailment': '0.77', 'neutral': '0.14', 'contradiction': '0.09'}","{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.05'}",0.14
105,Either Timmy or Tasha are a broker,Timmy is a broker,Tasha is a broker,"{'entailment': '0.72', 'neutral': '0.18', 'contradiction': '0.10'}","{'entailment': '0.70', 'neutral': '0.25', 'contradiction': '0.05'}",0.14
424,Either Chang Lee or Greta are a professor,Chang Lee is a professor,Greta is a professor,"{'entailment': '0.88', 'neutral': '0.08', 'contradiction': '0.04'}","{'entailment': '0.81', 'neutral': '0.15', 'contradiction': '0.04'}",0.13999999999999996
370,Either Mack or Ellen are an electrician,Mack is an electrician,Ellen is an electrician,"{'entailment': '0.63', 'neutral': '0.29', 'contradiction': '0.08'}","{'entailment': '0.56', 'neutral': '0.36', 'contradiction': '0.08'}",0.13999999999999996
246,Either Harold or Paula are a janitor,Harold is a janitor,Paula is a janitor,"{'entailment': '0.72', 'neutral': '0.18', 'contradiction': '0.10'}","{'entailment': '0.65', 'neutral': '0.24', 'contradiction': '0.11'}",0.13999999999999996
337,Either Bill or Lily are a chess player,Bill is a chess player,Lily is a chess player,"{'entailment': '0.67', 'neutral': '0.25', 'contradiction': '0.08'}","{'entailment': '0.74', 'neutral': '0.19', 'contradiction': '0.07'}",0.13999999999999996
209,Either George or Maggie are a servant,George is a servant,Maggie is a servant,"{'entailment': '0.51', 'neutral': '0.34', 'contradiction': '0.15'}","{'entailment': '0.57', 'neutral': '0.27', 'contradiction': '0.16'}",0.13999999999999996
183,Either Sergey or Patricia are a sheriff,Sergey is a sheriff,Patricia is a sheriff,"{'entailment': '0.60', 'neutral': '0.21', 'contradiction': '0.18'}","{'entailment': '0.54', 'neutral': '0.26', 'contradiction': '0.21'}",0.13999999999999996
160,Either Mack or Fabioloa are a supervisor,Mack is a supervisor,Fabioloa is a supervisor,"{'entailment': '0.68', 'neutral': '0.20', 'contradiction': '0.12'}","{'entailment': '0.75', 'neutral': '0.17', 'contradiction': '0.08'}",0.13999999999999996
168,Either Billy or Erica are a mathematician,Billy is a mathematician,Erica is a mathematician,"{'entailment': '0.52', 'neutral': '0.38', 'contradiction': '0.10'}","{'entailment': '0.58', 'neutral': '0.31', 'contradiction': '0.11'}",0.13999999999999996
316,Either Alexander or Patricia are a performing artist,Alexander is a performing artist,Patricia is a performing artist,"{'entailment': '0.58', 'neutral': '0.25', 'contradiction': '0.17'}","{'entailment': '0.51', 'neutral': '0.31', 'contradiction': '0.18'}",0.13999999999999993
488,Either Mitchell or Juliette are a prosecutor,Mitchell is a prosecutor,Juliette is a prosecutor,"{'entailment': '0.75', 'neutral': '0.17', 'contradiction': '0.08'}","{'entailment': '0.68', 'neutral': '0.21', 'contradiction': '0.11'}",0.13999999999999993
79,Either Seth or Shaniqua are a sociologist,Seth is a sociologist,Shaniqua is a sociologist,"{'entailment': '0.70', 'neutral': '0.19', 'contradiction': '0.11'}","{'entailment': '0.68', 'neutral': '0.26', 'contradiction': '0.06'}",0.1399999999999999
207,Either Shane or Naomi are a nurse,Shane is a nurse,Naomi is a nurse,"{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.06'}","{'entailment': '0.75', 'neutral': '0.18', 'contradiction': '0.07'}",0.13000000000000006
179,Either Treyvone or Shaniqua are an entrepreneur,Treyvone is an entrepreneur,Shaniqua is an entrepreneur,"{'entailment': '0.73', 'neutral': '0.17', 'contradiction': '0.10'}","{'entailment': '0.79', 'neutral': '0.13', 'contradiction': '0.07'}",0.13000000000000006
363,Either Steven or Monica are a cashier,Steven is a cashier,Monica is a cashier,"{'entailment': '0.67', 'neutral': '0.21', 'contradiction': '0.12'}","{'entailment': '0.61', 'neutral': '0.25', 'contradiction': '0.15'}",0.13000000000000006
495,Either Hunter or Martha are a postman,Hunter is a postman,Martha is a postman,"{'entailment': '0.73', 'neutral': '0.16', 'contradiction': '0.10'}","{'entailment': '0.80', 'neutral': '0.14', 'contradiction': '0.06'}",0.13000000000000006
255,Either Carl or Jane are a barber,Carl is a barber,Jane is a barber,"{'entailment': '0.68', 'neutral': '0.21', 'contradiction': '0.11'}","{'entailment': '0.67', 'neutral': '0.27', 'contradiction': '0.05'}",0.13000000000000003
366,Either Kevin or Monica are a postman,Kevin is a postman,Monica is a postman,"{'entailment': '0.66', 'neutral': '0.23', 'contradiction': '0.10'}","{'entailment': '0.60', 'neutral': '0.25', 'contradiction': '0.15'}",0.13000000000000003
293,Either Sergey or Beyonce are a baker,Sergey is a baker,Beyonce is a baker,"{'entailment': '0.65', 'neutral': '0.17', 'contradiction': '0.17'}","{'entailment': '0.60', 'neutral': '0.24', 'contradiction': '0.16'}",0.13000000000000003
108,Either Biff or Martha are an administrator,Biff is an administrator,Martha is an administrator,"{'entailment': '0.66', 'neutral': '0.23', 'contradiction': '0.12'}","{'entailment': '0.59', 'neutral': '0.29', 'contradiction': '0.12'}",0.13000000000000003
116,Either Tim or Joan are an office worker,Tim is an office worker,Joan is an office worker,"{'entailment': '0.75', 'neutral': '0.17', 'contradiction': '0.08'}","{'entailment': '0.81', 'neutral': '0.15', 'contradiction': '0.04'}",0.12000000000000008
492,Either Ramirez or Candace are a scientist,Ramirez is a scientist,Candace is a scientist,"{'entailment': '0.58', 'neutral': '0.34', 'contradiction': '0.08'}","{'entailment': '0.64', 'neutral': '0.32', 'contradiction': '0.04'}",0.12000000000000008
113,Either Mattie or Lynn are a physicist,Mattie is a physicist,Lynn is a physicist,"{'entailment': '0.57', 'neutral': '0.32', 'contradiction': '0.11'}","{'entailment': '0.63', 'neutral': '0.31', 'contradiction': '0.06'}",0.12000000000000006
204,Either Wesley or Kassandra are a director,Wesley is a director,Kassandra is a director,"{'entailment': '0.61', 'neutral': '0.28', 'contradiction': '0.11'}","{'entailment': '0.67', 'neutral': '0.23', 'contradiction': '0.10'}",0.12000000000000006
101,Either Jacob or Kate are a nurse,Jacob is a nurse,Kate is a nurse,"{'entailment': '0.62', 'neutral': '0.25', 'contradiction': '0.13'}","{'entailment': '0.65', 'neutral': '0.28', 'contradiction': '0.07'}",0.12000000000000005
432,Either Louis or Jenny are an architect,Louis is an architect,Jenny is an architect,"{'entailment': '0.63', 'neutral': '0.23', 'contradiction': '0.14'}","{'entailment': '0.66', 'neutral': '0.26', 'contradiction': '0.08'}",0.12000000000000004
75,Either Zack or Candice are a fireman,Zack is a fireman,Candice is a fireman,"{'entailment': '0.70', 'neutral': '0.24', 'contradiction': '0.06'}","{'entailment': '0.76', 'neutral': '0.22', 'contradiction': '0.02'}",0.12000000000000004
12,Either Daniel or Abigail are a security guard,Daniel is a security guard,Abigail is a security guard,"{'entailment': '0.88', 'neutral': '0.09', 'contradiction': '0.03'}","{'entailment': '0.83', 'neutral': '0.15', 'contradiction': '0.02'}",0.12000000000000004
413,Either Juan or Cheryl are a magician,Juan is a magician,Cheryl is a magician,"{'entailment': '0.44', 'neutral': '0.43', 'contradiction': '0.13'}","{'entailment': '0.50', 'neutral': '0.41', 'contradiction': '0.09'}",0.12000000000000002
428,Either Denny or Molly are a judge,Denny is a judge,Molly is a judge,"{'entailment': '0.46', 'neutral': '0.35', 'contradiction': '0.19'}","{'entailment': '0.45', 'neutral': '0.41', 'contradiction': '0.14'}",0.12
465,Either Aaron or Camille are a hostess,Aaron is a hostess,Camille is a hostess,"{'entailment': '0.42', 'neutral': '0.36', 'contradiction': '0.22'}","{'entailment': '0.48', 'neutral': '0.35', 'contradiction': '0.17'}",0.12
88,Either Russ or Vrenna are an army,Russ is an army,Vrenna is an army,"{'entailment': '0.67', 'neutral': '0.23', 'contradiction': '0.10'}","{'entailment': '0.64', 'neutral': '0.29', 'contradiction': '0.07'}",0.12
130,Either Julius or Monica are a politician,Julius is a politician,Monica is a politician,"{'entailment': '0.52', 'neutral': '0.34', 'contradiction': '0.15'}","{'entailment': '0.57', 'neutral': '0.30', 'contradiction': '0.12'}",0.11999999999999997
429,Either Donald or Lena are a pharmacist,Donald is a pharmacist,Lena is a pharmacist,"{'entailment': '0.47', 'neutral': '0.38', 'contradiction': '0.15'}","{'entailment': '0.46', 'neutral': '0.44', 'contradiction': '0.10'}",0.11999999999999994
453,Either Matt or Tanisha are a medical student,Matt is a medical student,Tanisha is a medical student,"{'entailment': '0.67', 'neutral': '0.25', 'contradiction': '0.08'}","{'entailment': '0.73', 'neutral': '0.25', 'contradiction': '0.02'}",0.11999999999999994
5,Either Hunter or Precious are an author,Hunter is an author,Precious is an author,"{'entailment': '0.82', 'neutral': '0.10', 'contradiction': '0.08'}","{'entailment': '0.76', 'neutral': '0.13', 'contradiction': '0.11'}",0.11999999999999994
214,Either Mattie or Cindy are a nurse,Mattie is a nurse,Cindy is a nurse,"{'entailment': '0.63', 'neutral': '0.24', 'contradiction': '0.13'}","{'entailment': '0.69', 'neutral': '0.23', 'contradiction': '0.08'}",0.11999999999999993
151,Either Cole or Lynn are a physician,Cole is a physician,Lynn is a physician,"{'entailment': '0.67', 'neutral': '0.24', 'contradiction': '0.09'}","{'entailment': '0.73', 'neutral': '0.22', 'contradiction': '0.05'}",0.11999999999999993
2,Either Scott or Benny are a firefighter,Scott is a firefighter,Benny is a firefighter,"{'entailment': '0.59', 'neutral': '0.31', 'contradiction': '0.09'}","{'entailment': '0.65', 'neutral': '0.29', 'contradiction': '0.06'}",0.11000000000000007
471,Either Dawson or Phoebe are a CEO,Dawson is a CEO,Phoebe is a CEO,"{'entailment': '0.57', 'neutral': '0.26', 'contradiction': '0.16'}","{'entailment': '0.63', 'neutral': '0.26', 'contradiction': '0.11'}",0.11000000000000006
452,Either James or Greta are a clerk,James is a clerk,Greta is a clerk,"{'entailment': '0.75', 'neutral': '0.16', 'contradiction': '0.09'}","{'entailment': '0.81', 'neutral': '0.15', 'contradiction': '0.05'}",0.11000000000000006
18,Either Amhad or Jenny are a hairdresser,Amhad is a hairdresser,Jenny is a hairdresser,"{'entailment': '0.87', 'neutral': '0.10', 'contradiction': '0.03'}","{'entailment': '0.93', 'neutral': '0.05', 'contradiction': '0.03'}",0.11000000000000006
206,Either Shawn or Celia are a performing artist,Shawn is a performing artist,Celia is a performing artist,"{'entailment': '0.75', 'neutral': '0.15', 'contradiction': '0.09'}","{'entailment': '0.70', 'neutral': '0.21', 'contradiction': '0.09'}",0.11000000000000004
345,Either Jimmy or Carla are a mover,Jimmy is a mover,Carla is a mover,"{'entailment': '0.10', 'neutral': '0.78', 'contradiction': '0.12'}","{'entailment': '0.15', 'neutral': '0.72', 'contradiction': '0.12'}",0.11000000000000004
19,Either Jim or Anne are a lawn mower,Jim is a lawn mower,Anne is a lawn mower,"{'entailment': '0.69', 'neutral': '0.19', 'contradiction': '0.12'}","{'entailment': '0.74', 'neutral': '0.20', 'contradiction': '0.07'}",0.11000000000000004
