,prem,hypo1,hypo2,score1,score2,diff1,prem-rev,hypo3,hypo4,score3,score4,diff2
472,Either Laquisha or Lamar is a physician,Laquisha is a physician,Lamar is a physician,"{'entailment': '0.79', 'neutral': '0.17', 'contradiction': '0.04'}","{'entailment': '0.79', 'neutral': '0.16', 'contradiction': '0.05'}",0.02000000000000001,Either Lamar or Laquisha is a physician,Laquisha is a physician,Lamar is a physician,"{'entailment': '0.79', 'neutral': '0.17', 'contradiction': '0.04'}","{'entailment': '0.78', 'neutral': '0.18', 'contradiction': '0.04'}",0.01999999999999999
473,Either Laquisha or Joe is a grocer,Laquisha is a grocer,Joe is a grocer,"{'entailment': '0.76', 'neutral': '0.17', 'contradiction': '0.06'}","{'entailment': '0.88', 'neutral': '0.08', 'contradiction': '0.04'}",0.23,Either Joe or Laquisha is a grocer,Laquisha is a grocer,Joe is a grocer,"{'entailment': '0.76', 'neutral': '0.17', 'contradiction': '0.07'}","{'entailment': '0.78', 'neutral': '0.15', 'contradiction': '0.06'}",0.050000000000000044
474,Either Anna or Malik is a radiologist,Anna is a radiologist,Malik is a radiologist,"{'entailment': '0.53', 'neutral': '0.33', 'contradiction': '0.14'}","{'entailment': '0.70', 'neutral': '0.18', 'contradiction': '0.12'}",0.33999999999999997,Either Malik or Anna is a radiologist,Anna is a radiologist,Malik is a radiologist,"{'entailment': '0.58', 'neutral': '0.28', 'contradiction': '0.14'}","{'entailment': '0.67', 'neutral': '0.20', 'contradiction': '0.13'}",0.1800000000000001
475,Either Molly or Jones is a broker,Molly is a broker,Jones is a broker,"{'entailment': '0.71', 'neutral': '0.22', 'contradiction': '0.07'}","{'entailment': '0.45', 'neutral': '0.46', 'contradiction': '0.09'}",0.52,Either Jones or Molly is a broker,Molly is a broker,Jones is a broker,"{'entailment': '0.66', 'neutral': '0.28', 'contradiction': '0.06'}","{'entailment': '0.51', 'neutral': '0.39', 'contradiction': '0.10'}",0.30000000000000004
476,Either Greta or Jamie is a model,Greta is a model,Jamie is a model,"{'entailment': '0.65', 'neutral': '0.25', 'contradiction': '0.10'}","{'entailment': '0.44', 'neutral': '0.36', 'contradiction': '0.20'}",0.42000000000000004,Either Jamie or Greta is a model,Greta is a model,Jamie is a model,"{'entailment': '0.48', 'neutral': '0.32', 'contradiction': '0.20'}","{'entailment': '0.40', 'neutral': '0.40', 'contradiction': '0.20'}",0.15999999999999998
477,Either Susan or Manuel is a firefighter,Susan is a firefighter,Manuel is a firefighter,"{'entailment': '0.41', 'neutral': '0.49', 'contradiction': '0.10'}","{'entailment': '0.77', 'neutral': '0.18', 'contradiction': '0.05'}",0.7200000000000001,Either Manuel or Susan is a firefighter,Susan is a firefighter,Manuel is a firefighter,"{'entailment': '0.69', 'neutral': '0.25', 'contradiction': '0.06'}","{'entailment': '0.86', 'neutral': '0.10', 'contradiction': '0.04'}",0.3400000000000001
478,Either Beth or D'quan is a hostess,Beth is a hostess,D'quan is a hostess,"{'entailment': '0.42', 'neutral': '0.41', 'contradiction': '0.17'}","{'entailment': '0.71', 'neutral': '0.20', 'contradiction': '0.10'}",0.57,Either D'quan or Beth is a hostess,Beth is a hostess,D'quan is a hostess,"{'entailment': '0.57', 'neutral': '0.32', 'contradiction': '0.10'}","{'entailment': '0.71', 'neutral': '0.20', 'contradiction': '0.08'}",0.28
479,Either Sally or Cadan is a coach,Sally is a coach,Cadan is a coach,"{'entailment': '0.74', 'neutral': '0.19', 'contradiction': '0.07'}","{'entailment': '0.88', 'neutral': '0.10', 'contradiction': '0.02'}",0.28,Either Cadan or Sally is a coach,Sally is a coach,Cadan is a coach,"{'entailment': '0.75', 'neutral': '0.17', 'contradiction': '0.09'}","{'entailment': '0.76', 'neutral': '0.18', 'contradiction': '0.06'}",0.04999999999999999
480,Either Carly or Jesus is an economist,Carly is an economist,Jesus is an economist,"{'entailment': '0.56', 'neutral': '0.37', 'contradiction': '0.07'}","{'entailment': '0.23', 'neutral': '0.61', 'contradiction': '0.17'}",0.67,Either Jesus or Carly is an economist,Carly is an economist,Jesus is an economist,"{'entailment': '0.38', 'neutral': '0.44', 'contradiction': '0.18'}","{'entailment': '0.12', 'neutral': '0.73', 'contradiction': '0.14'}",0.5900000000000001
481,Either Sharon or Tim is a counselor,Sharon is a counselor,Tim is a counselor,"{'entailment': '0.84', 'neutral': '0.11', 'contradiction': '0.04'}","{'entailment': '0.82', 'neutral': '0.11', 'contradiction': '0.07'}",0.050000000000000024,Either Tim or Sharon is a counselor,Sharon is a counselor,Tim is a counselor,"{'entailment': '0.79', 'neutral': '0.15', 'contradiction': '0.07'}","{'entailment': '0.73', 'neutral': '0.15', 'contradiction': '0.12'}",0.11000000000000004
482,Either Anne or Jesus is a tennis player,Anne is a tennis player,Jesus is a tennis player,"{'entailment': '0.79', 'neutral': '0.15', 'contradiction': '0.06'}","{'entailment': '0.43', 'neutral': '0.41', 'contradiction': '0.17'}",0.7300000000000001,Either Jesus or Anne is a tennis player,Anne is a tennis player,Jesus is a tennis player,"{'entailment': '0.68', 'neutral': '0.19', 'contradiction': '0.13'}","{'entailment': '0.30', 'neutral': '0.53', 'contradiction': '0.16'}",0.7500000000000001
483,Either Tessa or Robert is a nurse,Tessa is a nurse,Robert is a nurse,"{'entailment': '0.59', 'neutral': '0.36', 'contradiction': '0.05'}","{'entailment': '0.82', 'neutral': '0.11', 'contradiction': '0.07'}",0.5,Either Robert or Tessa is a nurse,Tessa is a nurse,Robert is a nurse,"{'entailment': '0.61', 'neutral': '0.34', 'contradiction': '0.05'}","{'entailment': '0.71', 'neutral': '0.21', 'contradiction': '0.08'}",0.26
484,Either Lara or Billy is a CEO,Lara is a CEO,Billy is a CEO,"{'entailment': '0.49', 'neutral': '0.27', 'contradiction': '0.24'}","{'entailment': '0.66', 'neutral': '0.17', 'contradiction': '0.17'}",0.33999999999999997,Either Billy or Lara is a CEO,Lara is a CEO,Billy is a CEO,"{'entailment': '0.60', 'neutral': '0.21', 'contradiction': '0.18'}","{'entailment': '0.47', 'neutral': '0.26', 'contradiction': '0.27'}",0.27
485,Either Janet or Bill is an army,Janet is an army,Bill is an army,"{'entailment': '0.42', 'neutral': '0.38', 'contradiction': '0.20'}","{'entailment': '0.26', 'neutral': '0.41', 'contradiction': '0.33'}",0.31999999999999995,Either Bill or Janet is an army,Janet is an army,Bill is an army,"{'entailment': '0.45', 'neutral': '0.34', 'contradiction': '0.21'}","{'entailment': '0.30', 'neutral': '0.49', 'contradiction': '0.21'}",0.3
486,Either Katherine or Joey is a coach,Katherine is a coach,Joey is a coach,"{'entailment': '0.48', 'neutral': '0.31', 'contradiction': '0.22'}","{'entailment': '0.61', 'neutral': '0.19', 'contradiction': '0.19'}",0.28,Either Joey or Katherine is a coach,Katherine is a coach,Joey is a coach,"{'entailment': '0.51', 'neutral': '0.25', 'contradiction': '0.25'}","{'entailment': '0.53', 'neutral': '0.22', 'contradiction': '0.24'}",0.060000000000000026
487,Either Camille or Lars is a barber,Camille is a barber,Lars is a barber,"{'entailment': '0.74', 'neutral': '0.20', 'contradiction': '0.06'}","{'entailment': '0.91', 'neutral': '0.07', 'contradiction': '0.02'}",0.34,Either Lars or Camille is a barber,Camille is a barber,Lars is a barber,"{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.03'}","{'entailment': '0.79', 'neutral': '0.16', 'contradiction': '0.06'}",0.21
488,Either Tanisha or Bill is a cleric,Tanisha is a cleric,Bill is a cleric,"{'entailment': '0.88', 'neutral': '0.10', 'contradiction': '0.02'}","{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.02'}",0.030000000000000013,Either Bill or Tanisha is a cleric,Tanisha is a cleric,Bill is a cleric,"{'entailment': '0.84', 'neutral': '0.14', 'contradiction': '0.02'}","{'entailment': '0.77', 'neutral': '0.17', 'contradiction': '0.06'}",0.13999999999999996
489,Either Anne or Manuel is a cashier,Anne is a cashier,Manuel is a cashier,"{'entailment': '0.76', 'neutral': '0.17', 'contradiction': '0.07'}","{'entailment': '0.83', 'neutral': '0.11', 'contradiction': '0.06'}",0.13999999999999996,Either Manuel or Anne is a cashier,Anne is a cashier,Manuel is a cashier,"{'entailment': '0.73', 'neutral': '0.18', 'contradiction': '0.09'}","{'entailment': '0.87', 'neutral': '0.07', 'contradiction': '0.05'}",0.29
490,Either Dawn or Bill is an illustrator,Dawn is an illustrator,Bill is an illustrator,"{'entailment': '0.91', 'neutral': '0.05', 'contradiction': '0.03'}","{'entailment': '0.75', 'neutral': '0.12', 'contradiction': '0.13'}",0.33000000000000007,Either Bill or Dawn is an illustrator,Dawn is an illustrator,Bill is an illustrator,"{'entailment': '0.86', 'neutral': '0.08', 'contradiction': '0.06'}","{'entailment': '0.68', 'neutral': '0.17', 'contradiction': '0.14'}",0.35
491,Either Beth or Ming is an administrator,Beth is an administrator,Ming is an administrator,"{'entailment': '0.51', 'neutral': '0.34', 'contradiction': '0.15'}","{'entailment': '0.72', 'neutral': '0.19', 'contradiction': '0.09'}",0.42,Either Ming or Beth is an administrator,Beth is an administrator,Ming is an administrator,"{'entailment': '0.58', 'neutral': '0.30', 'contradiction': '0.12'}","{'entailment': '0.79', 'neutral': '0.15', 'contradiction': '0.06'}",0.4200000000000001
492,Either Olga or Jafari is a detective,Olga is a detective,Jafari is a detective,"{'entailment': '0.80', 'neutral': '0.16', 'contradiction': '0.04'}","{'entailment': '0.84', 'neutral': '0.13', 'contradiction': '0.03'}",0.07999999999999993,Either Jafari or Olga is a detective,Olga is a detective,Jafari is a detective,"{'entailment': '0.81', 'neutral': '0.16', 'contradiction': '0.04'}","{'entailment': '0.67', 'neutral': '0.25', 'contradiction': '0.09'}",0.28
493,Either Anne or Kwame is an economist,Anne is an economist,Kwame is an economist,"{'entailment': '0.38', 'neutral': '0.56', 'contradiction': '0.06'}","{'entailment': '0.61', 'neutral': '0.35', 'contradiction': '0.04'}",0.4600000000000001,Either Kwame or Anne is an economist,Anne is an economist,Kwame is an economist,"{'entailment': '0.43', 'neutral': '0.52', 'contradiction': '0.05'}","{'entailment': '0.55', 'neutral': '0.41', 'contradiction': '0.04'}",0.2400000000000001
494,Either Precious or Chen Wu is a pharmacist,Precious is a pharmacist,Chen Wu is a pharmacist,"{'entailment': '0.70', 'neutral': '0.24', 'contradiction': '0.06'}","{'entailment': '0.96', 'neutral': '0.03', 'contradiction': '0.01'}",0.52,Either Chen Wu or Precious is a pharmacist,Precious is a pharmacist,Chen Wu is a pharmacist,"{'entailment': '0.70', 'neutral': '0.25', 'contradiction': '0.05'}","{'entailment': '0.92', 'neutral': '0.05', 'contradiction': '0.02'}",0.4500000000000001
495,Either Molly or Rocco is a producer,Molly is a producer,Rocco is a producer,"{'entailment': '0.72', 'neutral': '0.21', 'contradiction': '0.07'}","{'entailment': '0.57', 'neutral': '0.29', 'contradiction': '0.14'}",0.30000000000000004,Either Rocco or Molly is a producer,Molly is a producer,Rocco is a producer,"{'entailment': '0.69', 'neutral': '0.20', 'contradiction': '0.11'}","{'entailment': '0.69', 'neutral': '0.22', 'contradiction': '0.09'}",0.039999999999999994
496,Either Susie or Zack is a researcher,Susie is a researcher,Zack is a researcher,"{'entailment': '0.64', 'neutral': '0.30', 'contradiction': '0.06'}","{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.05'}",0.19999999999999996,Either Zack or Susie is a researcher,Susie is a researcher,Zack is a researcher,"{'entailment': '0.64', 'neutral': '0.30', 'contradiction': '0.07'}","{'entailment': '0.73', 'neutral': '0.22', 'contradiction': '0.05'}",0.18999999999999995
497,Either Tasha or LeShawn is a journalist,Tasha is a journalist,LeShawn is a journalist,"{'entailment': '0.74', 'neutral': '0.24', 'contradiction': '0.03'}","{'entailment': '0.76', 'neutral': '0.19', 'contradiction': '0.04'}",0.08000000000000002,Either LeShawn or Tasha is a journalist,Tasha is a journalist,LeShawn is a journalist,"{'entailment': '0.75', 'neutral': '0.23', 'contradiction': '0.02'}","{'entailment': '0.76', 'neutral': '0.20', 'contradiction': '0.04'}",0.06000000000000001
498,Either Katie or Chen Wee is a hairdresser,Katie is a hairdresser,Chen Wee is a hairdresser,"{'entailment': '0.61', 'neutral': '0.29', 'contradiction': '0.11'}","{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.03'}",0.57,Either Chen Wee or Katie is a hairdresser,Katie is a hairdresser,Chen Wee is a hairdresser,"{'entailment': '0.92', 'neutral': '0.05', 'contradiction': '0.03'}","{'entailment': '0.92', 'neutral': '0.05', 'contradiction': '0.02'}",0.009999999999999998
499,Either Molly or Ramon is an opera singer,Molly is an opera singer,Ramon is an opera singer,"{'entailment': '0.73', 'neutral': '0.15', 'contradiction': '0.12'}","{'entailment': '0.71', 'neutral': '0.16', 'contradiction': '0.13'}",0.040000000000000036,Either Ramon or Molly is an opera singer,Molly is an opera singer,Ramon is an opera singer,"{'entailment': '0.56', 'neutral': '0.17', 'contradiction': '0.26'}","{'entailment': '0.79', 'neutral': '0.12', 'contradiction': '0.09'}",0.45000000000000007
500,Either Bai or Chan is a delivery,Bai is a delivery,Chan is a delivery,"{'entailment': '0.72', 'neutral': '0.18', 'contradiction': '0.10'}","{'entailment': '0.58', 'neutral': '0.26', 'contradiction': '0.16'}",0.28,Either Chan or Bai is a delivery,Bai is a delivery,Chan is a delivery,"{'entailment': '0.49', 'neutral': '0.31', 'contradiction': '0.20'}","{'entailment': '0.76', 'neutral': '0.15', 'contradiction': '0.09'}",0.54
501,Either Shevon or Timmy is a housekeeper,Shevon is a housekeeper,Timmy is a housekeeper,"{'entailment': '0.87', 'neutral': '0.10', 'contradiction': '0.03'}","{'entailment': '0.77', 'neutral': '0.14', 'contradiction': '0.09'}",0.19999999999999998,Either Timmy or Shevon is a housekeeper,Shevon is a housekeeper,Timmy is a housekeeper,"{'entailment': '0.84', 'neutral': '0.10', 'contradiction': '0.06'}","{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.06'}",0.049999999999999906
502,Either Carla or Chen Wee is a mathematician,Carla is a mathematician,Chen Wee is a mathematician,"{'entailment': '0.60', 'neutral': '0.37', 'contradiction': '0.03'}","{'entailment': '0.81', 'neutral': '0.15', 'contradiction': '0.04'}",0.44000000000000006,Either Chen Wee or Carla is a mathematician,Carla is a mathematician,Chen Wee is a mathematician,"{'entailment': '0.77', 'neutral': '0.21', 'contradiction': '0.02'}","{'entailment': '0.84', 'neutral': '0.14', 'contradiction': '0.03'}",0.14999999999999994
503,Either Wendy or Tyresse is a soldier,Wendy is a soldier,Tyresse is a soldier,"{'entailment': '0.63', 'neutral': '0.29', 'contradiction': '0.08'}","{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.04'}",0.22999999999999998,Either Tyresse or Wendy is a soldier,Wendy is a soldier,Tyresse is a soldier,"{'entailment': '0.72', 'neutral': '0.21', 'contradiction': '0.07'}","{'entailment': '0.72', 'neutral': '0.22', 'contradiction': '0.07'}",0.010000000000000009
504,Either Jacqui or Carl is an office worker,Jacqui is an office worker,Carl is an office worker,"{'entailment': '0.80', 'neutral': '0.16', 'contradiction': '0.04'}","{'entailment': '0.78', 'neutral': '0.16', 'contradiction': '0.06'}",0.040000000000000015,Either Carl or Jacqui is an office worker,Jacqui is an office worker,Carl is an office worker,"{'entailment': '0.80', 'neutral': '0.13', 'contradiction': '0.07'}","{'entailment': '0.72', 'neutral': '0.20', 'contradiction': '0.09'}",0.17000000000000007
505,Either Cynthia or Cole is an army,Cynthia is an army,Cole is an army,"{'entailment': '0.42', 'neutral': '0.43', 'contradiction': '0.15'}","{'entailment': '0.58', 'neutral': '0.29', 'contradiction': '0.13'}",0.31999999999999995,Either Cole or Cynthia is an army,Cynthia is an army,Cole is an army,"{'entailment': '0.46', 'neutral': '0.41', 'contradiction': '0.13'}","{'entailment': '0.58', 'neutral': '0.29', 'contradiction': '0.13'}",0.23999999999999994
506,Either Claire or Dylan is a construction worker,Claire is a construction worker,Dylan is a construction worker,"{'entailment': '0.87', 'neutral': '0.11', 'contradiction': '0.02'}","{'entailment': '0.90', 'neutral': '0.08', 'contradiction': '0.02'}",0.060000000000000026,Either Dylan or Claire is a construction worker,Claire is a construction worker,Dylan is a construction worker,"{'entailment': '0.87', 'neutral': '0.10', 'contradiction': '0.04'}","{'entailment': '0.91', 'neutral': '0.07', 'contradiction': '0.02'}",0.09000000000000004
507,Either Yolanda or Marcus is a broker,Yolanda is a broker,Marcus is a broker,"{'entailment': '0.69', 'neutral': '0.27', 'contradiction': '0.04'}","{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.03'}",0.4000000000000001,Either Marcus or Yolanda is a broker,Yolanda is a broker,Marcus is a broker,"{'entailment': '0.78', 'neutral': '0.18', 'contradiction': '0.03'}","{'entailment': '0.71', 'neutral': '0.21', 'contradiction': '0.08'}",0.15000000000000008
508,Either Ebony or Terrell is a cleric,Ebony is a cleric,Terrell is a cleric,"{'entailment': '0.73', 'neutral': '0.19', 'contradiction': '0.07'}","{'entailment': '0.79', 'neutral': '0.16', 'contradiction': '0.05'}",0.11000000000000006,Either Terrell or Ebony is a cleric,Ebony is a cleric,Terrell is a cleric,"{'entailment': '0.82', 'neutral': '0.14', 'contradiction': '0.04'}","{'entailment': '0.83', 'neutral': '0.12', 'contradiction': '0.05'}",0.04000000000000003
509,Either Emily or James is an assistant,Emily is an assistant,James is an assistant,"{'entailment': '0.55', 'neutral': '0.26', 'contradiction': '0.19'}","{'entailment': '0.68', 'neutral': '0.20', 'contradiction': '0.11'}",0.27,Either James or Emily is an assistant,Emily is an assistant,James is an assistant,"{'entailment': '0.43', 'neutral': '0.35', 'contradiction': '0.22'}","{'entailment': '0.59', 'neutral': '0.24', 'contradiction': '0.17'}",0.31999999999999995
510,Either Anne or Shane is a lawn mower,Anne is a lawn mower,Shane is a lawn mower,"{'entailment': '0.65', 'neutral': '0.24', 'contradiction': '0.11'}","{'entailment': '0.86', 'neutral': '0.10', 'contradiction': '0.04'}",0.42,Either Shane or Anne is a lawn mower,Anne is a lawn mower,Shane is a lawn mower,"{'entailment': '0.65', 'neutral': '0.24', 'contradiction': '0.11'}","{'entailment': '0.87', 'neutral': '0.09', 'contradiction': '0.04'}",0.44
511,Either Ellen or Jorge is a chemist,Ellen is a chemist,Jorge is a chemist,"{'entailment': '0.47', 'neutral': '0.41', 'contradiction': '0.11'}","{'entailment': '0.71', 'neutral': '0.19', 'contradiction': '0.10'}",0.47,Either Jorge or Ellen is a chemist,Ellen is a chemist,Jorge is a chemist,"{'entailment': '0.38', 'neutral': '0.52', 'contradiction': '0.11'}","{'entailment': '0.76', 'neutral': '0.18', 'contradiction': '0.07'}",0.76
512,Either Barbara or Kevin is a cook,Barbara is a cook,Kevin is a cook,"{'entailment': '0.68', 'neutral': '0.26', 'contradiction': '0.06'}","{'entailment': '0.57', 'neutral': '0.35', 'contradiction': '0.07'}",0.21000000000000008,Either Kevin or Barbara is a cook,Barbara is a cook,Kevin is a cook,"{'entailment': '0.46', 'neutral': '0.44', 'contradiction': '0.10'}","{'entailment': '0.54', 'neutral': '0.41', 'contradiction': '0.06'}",0.15000000000000005
513,Either Vrenna or Jafari is a model,Vrenna is a model,Jafari is a model,"{'entailment': '0.86', 'neutral': '0.10', 'contradiction': '0.04'}","{'entailment': '0.73', 'neutral': '0.15', 'contradiction': '0.12'}",0.26,Either Jafari or Vrenna is a model,Vrenna is a model,Jafari is a model,"{'entailment': '0.74', 'neutral': '0.17', 'contradiction': '0.09'}","{'entailment': '0.85', 'neutral': '0.08', 'contradiction': '0.06'}",0.23
514,Either Jane or Terrance is a sociologist,Jane is a sociologist,Terrance is a sociologist,"{'entailment': '0.49', 'neutral': '0.44', 'contradiction': '0.07'}","{'entailment': '0.67', 'neutral': '0.26', 'contradiction': '0.07'}",0.36000000000000004,Either Terrance or Jane is a sociologist,Jane is a sociologist,Terrance is a sociologist,"{'entailment': '0.61', 'neutral': '0.33', 'contradiction': '0.06'}","{'entailment': '0.82', 'neutral': '0.14', 'contradiction': '0.04'}",0.42
515,Either Grace or Marcus is an actor,Grace is an actor,Marcus is an actor,"{'entailment': '0.71', 'neutral': '0.23', 'contradiction': '0.06'}","{'entailment': '0.66', 'neutral': '0.25', 'contradiction': '0.09'}",0.09999999999999992,Either Marcus or Grace is an actor,Grace is an actor,Marcus is an actor,"{'entailment': '0.58', 'neutral': '0.30', 'contradiction': '0.12'}","{'entailment': '0.59', 'neutral': '0.32', 'contradiction': '0.09'}",0.060000000000000026
516,Either Joan or Carlos is a magician,Joan is a magician,Carlos is a magician,"{'entailment': '0.32', 'neutral': '0.59', 'contradiction': '0.09'}","{'entailment': '0.56', 'neutral': '0.34', 'contradiction': '0.11'}",0.51,Either Carlos or Joan is a magician,Joan is a magician,Carlos is a magician,"{'entailment': '0.42', 'neutral': '0.45', 'contradiction': '0.14'}","{'entailment': '0.52', 'neutral': '0.34', 'contradiction': '0.15'}",0.22
517,Either Juliette or LeBron is a CEO,Juliette is a CEO,LeBron is a CEO,"{'entailment': '0.62', 'neutral': '0.17', 'contradiction': '0.21'}","{'entailment': '0.84', 'neutral': '0.09', 'contradiction': '0.07'}",0.43999999999999995,Either LeBron or Juliette is a CEO,Juliette is a CEO,LeBron is a CEO,"{'entailment': '0.57', 'neutral': '0.16', 'contradiction': '0.28'}","{'entailment': '0.63', 'neutral': '0.23', 'contradiction': '0.13'}",0.2800000000000001
518,Either Greta or Louis is a historian,Greta is a historian,Louis is a historian,"{'entailment': '0.43', 'neutral': '0.52', 'contradiction': '0.06'}","{'entailment': '0.55', 'neutral': '0.36', 'contradiction': '0.10'}",0.32000000000000006,Either Louis or Greta is a historian,Greta is a historian,Louis is a historian,"{'entailment': '0.48', 'neutral': '0.44', 'contradiction': '0.08'}","{'entailment': '0.42', 'neutral': '0.44', 'contradiction': '0.13'}",0.11
519,Either Abigail or Dustin is a chess player,Abigail is a chess player,Dustin is a chess player,"{'entailment': '0.75', 'neutral': '0.21', 'contradiction': '0.03'}","{'entailment': '0.85', 'neutral': '0.10', 'contradiction': '0.05'}",0.22999999999999998,Either Dustin or Abigail is a chess player,Abigail is a chess player,Dustin is a chess player,"{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.04'}","{'entailment': '0.81', 'neutral': '0.14', 'contradiction': '0.05'}",0.029999999999999992
520,Either Jenna or Bill is a swimmer,Jenna is a swimmer,Bill is a swimmer,"{'entailment': '0.61', 'neutral': '0.34', 'contradiction': '0.05'}","{'entailment': '0.56', 'neutral': '0.38', 'contradiction': '0.06'}",0.09999999999999991,Either Bill or Jenna is a swimmer,Jenna is a swimmer,Bill is a swimmer,"{'entailment': '0.66', 'neutral': '0.30', 'contradiction': '0.05'}","{'entailment': '0.39', 'neutral': '0.56', 'contradiction': '0.06'}",0.54
521,Either Shiloh or Rocco is a groom,Shiloh is a groom,Rocco is a groom,"{'entailment': '0.82', 'neutral': '0.12', 'contradiction': '0.06'}","{'entailment': '0.83', 'neutral': '0.11', 'contradiction': '0.06'}",0.020000000000000004,Either Rocco or Shiloh is a groom,Shiloh is a groom,Rocco is a groom,"{'entailment': '0.86', 'neutral': '0.09', 'contradiction': '0.06'}","{'entailment': '0.85', 'neutral': '0.10', 'contradiction': '0.05'}",0.030000000000000013
522,Either Shaniqua or Ming is a singer,Shaniqua is a singer,Ming is a singer,"{'entailment': '0.90', 'neutral': '0.08', 'contradiction': '0.02'}","{'entailment': '0.90', 'neutral': '0.08', 'contradiction': '0.02'}",0.0,Either Ming or Shaniqua is a singer,Shaniqua is a singer,Ming is a singer,"{'entailment': '0.83', 'neutral': '0.11', 'contradiction': '0.06'}","{'entailment': '0.93', 'neutral': '0.06', 'contradiction': '0.01'}",0.20000000000000007
523,Either Shelly or Jim is a model,Shelly is a model,Jim is a model,"{'entailment': '0.66', 'neutral': '0.24', 'contradiction': '0.10'}","{'entailment': '0.48', 'neutral': '0.37', 'contradiction': '0.14'}",0.3500000000000001,Either Jim or Shelly is a model,Shelly is a model,Jim is a model,"{'entailment': '0.38', 'neutral': '0.36', 'contradiction': '0.26'}","{'entailment': '0.46', 'neutral': '0.37', 'contradiction': '0.17'}",0.18000000000000002
524,Either Katherine or Rajeev is a butcher,Katherine is a butcher,Rajeev is a butcher,"{'entailment': '0.74', 'neutral': '0.17', 'contradiction': '0.09'}","{'entailment': '0.89', 'neutral': '0.07', 'contradiction': '0.04'}",0.3,Either Rajeev or Katherine is a butcher,Katherine is a butcher,Rajeev is a butcher,"{'entailment': '0.83', 'neutral': '0.11', 'contradiction': '0.07'}","{'entailment': '0.91', 'neutral': '0.06', 'contradiction': '0.03'}",0.17000000000000007
525,Either Sally or Rocco is a drawer,Sally is a drawer,Rocco is a drawer,"{'entailment': '0.70', 'neutral': '0.13', 'contradiction': '0.17'}","{'entailment': '0.50', 'neutral': '0.22', 'contradiction': '0.27'}",0.3899999999999999,Either Rocco or Sally is a drawer,Sally is a drawer,Rocco is a drawer,"{'entailment': '0.43', 'neutral': '0.21', 'contradiction': '0.37'}","{'entailment': '0.70', 'neutral': '0.15', 'contradiction': '0.16'}",0.5399999999999999
526,Either Naomi or Jones is a postman,Naomi is a postman,Jones is a postman,"{'entailment': '0.75', 'neutral': '0.17', 'contradiction': '0.08'}","{'entailment': '0.67', 'neutral': '0.23', 'contradiction': '0.11'}",0.16999999999999996,Either Jones or Naomi is a postman,Naomi is a postman,Jones is a postman,"{'entailment': '0.75', 'neutral': '0.17', 'contradiction': '0.08'}","{'entailment': '0.74', 'neutral': '0.16', 'contradiction': '0.10'}",0.04000000000000002
527,Either Abigail or Tom is a delivery,Abigail is a delivery,Tom is a delivery,"{'entailment': '0.62', 'neutral': '0.26', 'contradiction': '0.12'}","{'entailment': '0.76', 'neutral': '0.15', 'contradiction': '0.09'}",0.28,Either Tom or Abigail is a delivery,Abigail is a delivery,Tom is a delivery,"{'entailment': '0.50', 'neutral': '0.33', 'contradiction': '0.17'}","{'entailment': '0.72', 'neutral': '0.16', 'contradiction': '0.12'}",0.44000000000000006
528,Either Carla or Sheng Lee is a pensioner,Carla is a pensioner,Sheng Lee is a pensioner,"{'entailment': '0.30', 'neutral': '0.59', 'contradiction': '0.11'}","{'entailment': '0.73', 'neutral': '0.20', 'contradiction': '0.08'}",0.85,Either Sheng Lee or Carla is a pensioner,Carla is a pensioner,Sheng Lee is a pensioner,"{'entailment': '0.51', 'neutral': '0.37', 'contradiction': '0.11'}","{'entailment': '0.56', 'neutral': '0.34', 'contradiction': '0.10'}",0.09000000000000001
529,Either Tanisha or Malik is a professor,Tanisha is a professor,Malik is a professor,"{'entailment': '0.70', 'neutral': '0.25', 'contradiction': '0.05'}","{'entailment': '0.84', 'neutral': '0.10', 'contradiction': '0.06'}",0.30000000000000004,Either Malik or Tanisha is a professor,Tanisha is a professor,Malik is a professor,"{'entailment': '0.69', 'neutral': '0.26', 'contradiction': '0.05'}","{'entailment': '0.74', 'neutral': '0.16', 'contradiction': '0.10'}",0.20000000000000007
530,Either Greta or Mark is an army,Greta is an army,Mark is an army,"{'entailment': '0.59', 'neutral': '0.32', 'contradiction': '0.09'}","{'entailment': '0.73', 'neutral': '0.20', 'contradiction': '0.07'}",0.28,Either Mark or Greta is an army,Greta is an army,Mark is an army,"{'entailment': '0.58', 'neutral': '0.29', 'contradiction': '0.12'}","{'entailment': '0.49', 'neutral': '0.33', 'contradiction': '0.18'}",0.19
