,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
490,Either Jacob or Tanisha is a lawyer,Jacob is a lawyer,0.701,0.183,0.117,entailment,Tanisha is a lawyer,0.689,0.279,0.032,entailment,0.192,Either Tanisha or Jacob is a lawyer,Jacob is a lawyer,0.862,0.084,0.054,entailment,Tanisha is a lawyer,0.750,0.227,0.023,entailment,0.285,0.323,0.122,0.445
491,Either Inglethorp or Chen Lang is a tennis player,Inglethorp is a tennis player,0.790,0.153,0.057,entailment,Chen Lang is a tennis player,0.928,0.059,0.013,entailment,0.277,Either Chen Lang or Inglethorp is a tennis player,Inglethorp is a tennis player,0.848,0.117,0.035,entailment,Chen Lang is a tennis player,0.896,0.081,0.023,entailment,0.097,0.116,0.065,0.180
492,Either Cadan or Jesus is a doctor,Cadan is a doctor,0.697,0.257,0.046,entailment,Jesus is a doctor,0.395,0.414,0.190,neutral,0.603,Either Jesus or Cadan is a doctor,Cadan is a doctor,0.789,0.192,0.020,entailment,Jesus is a doctor,0.203,0.661,0.136,neutral,1.171,0.183,0.493,0.676
493,Either LeShawn or Javier is an employee,LeShawn is an employee,0.776,0.180,0.044,entailment,Javier is an employee,0.814,0.136,0.050,entailment,0.089,Either Javier or LeShawn is an employee,LeShawn is an employee,0.718,0.203,0.079,entailment,Javier is an employee,0.899,0.071,0.030,entailment,0.362,0.115,0.170,0.285
494,Either Dustin or Ramirez is a dentist,Dustin is a dentist,0.730,0.199,0.071,entailment,Ramirez is a dentist,0.862,0.112,0.026,entailment,0.264,Either Ramirez or Dustin is a dentist,Dustin is a dentist,0.865,0.083,0.053,entailment,Ramirez is a dentist,0.736,0.207,0.057,entailment,0.258,0.269,0.253,0.522
495,Either Craig or Anita is a surgeon,Craig is a surgeon,0.531,0.293,0.175,entailment,Anita is a surgeon,0.461,0.417,0.122,entailment,0.248,Either Anita or Craig is a surgeon,Craig is a surgeon,0.622,0.242,0.136,entailment,Anita is a surgeon,0.381,0.474,0.145,neutral,0.482,0.181,0.159,0.341
496,Either Jenna or Won Lee is a clerk,Jenna is a clerk,0.883,0.087,0.030,entailment,Won Lee is a clerk,0.913,0.055,0.032,entailment,0.063,Either Won Lee or Jenna is a clerk,Jenna is a clerk,0.857,0.107,0.036,entailment,Won Lee is a clerk,0.946,0.040,0.014,entailment,0.179,0.053,0.066,0.119
497,Either Essex or Raven is a bartender,Essex is a bartender,0.737,0.108,0.155,entailment,Raven is a bartender,0.940,0.042,0.018,entailment,0.405,Either Raven or Essex is a bartender,Essex is a bartender,0.732,0.154,0.114,entailment,Raven is a bartender,0.886,0.076,0.038,entailment,0.309,0.093,0.107,0.200
498,Either Cadan or Kwame is a plumber,Cadan is a plumber,0.937,0.056,0.007,entailment,Kwame is a plumber,0.937,0.057,0.005,entailment,0.004,Either Kwame or Cadan is a plumber,Cadan is a plumber,0.956,0.040,0.003,entailment,Kwame is a plumber,0.890,0.099,0.011,entailment,0.132,0.038,0.094,0.132
499,Either Inglethorp or Anita is an attourney,Inglethorp is an attourney,0.497,0.340,0.163,entailment,Anita is an attourney,0.323,0.536,0.141,neutral,0.393,Either Anita or Inglethorp is an attourney,Inglethorp is an attourney,0.523,0.322,0.155,entailment,Anita is an attourney,0.314,0.553,0.132,neutral,0.462,0.051,0.034,0.085
500,Either Amy or Wright is an architect,Amy is an architect,0.598,0.249,0.152,entailment,Wright is an architect,0.725,0.197,0.078,entailment,0.254,Either Wright or Amy is an architect,Amy is an architect,0.522,0.276,0.202,entailment,Wright is an architect,0.838,0.123,0.038,entailment,0.633,0.153,0.226,0.379
501,Either Katie or Chen Wu is a scientist,Katie is a scientist,0.345,0.569,0.086,neutral,Chen Wu is a scientist,0.720,0.248,0.031,entailment,0.751,Either Chen Wu or Katie is a scientist,Katie is a scientist,0.590,0.343,0.067,entailment,Chen Wu is a scientist,0.668,0.284,0.048,entailment,0.156,0.489,0.106,0.595
502,Either Craig or Wong Chang is a police officer,Craig is a police officer,0.540,0.392,0.068,entailment,Wong Chang is a police officer,0.849,0.120,0.031,entailment,0.618,Either Wong Chang or Craig is a police officer,Craig is a police officer,0.694,0.269,0.037,entailment,Wong Chang is a police officer,0.842,0.129,0.030,entailment,0.296,0.308,0.016,0.324
503,Either Heather or Chang Lee is a mathematician,Heather is a mathematician,0.635,0.321,0.045,entailment,Chang Lee is a mathematician,0.820,0.146,0.035,entailment,0.370,Either Chang Lee or Heather is a mathematician,Heather is a mathematician,0.730,0.218,0.052,entailment,Chang Lee is a mathematician,0.833,0.145,0.023,entailment,0.204,0.205,0.026,0.231
504,Either Dylan or Sheng Lee is a salesperson,Dylan is a salesperson,0.768,0.180,0.052,entailment,Sheng Lee is a salesperson,0.927,0.055,0.018,entailment,0.317,Either Sheng Lee or Dylan is a salesperson,Dylan is a salesperson,0.906,0.071,0.023,entailment,Sheng Lee is a salesperson,0.928,0.059,0.013,entailment,0.045,0.276,0.011,0.287
505,Either Carly or Bai is an attendant,Carly is an attendant,0.695,0.194,0.111,entailment,Bai is an attendant,0.580,0.249,0.171,entailment,0.230,Either Bai or Carly is an attendant,Carly is an attendant,0.545,0.300,0.155,entailment,Bai is an attendant,0.673,0.216,0.112,entailment,0.256,0.300,0.186,0.486
506,Either Molly or Silas is a grocer,Molly is a grocer,0.784,0.161,0.054,entailment,Silas is a grocer,0.716,0.184,0.100,entailment,0.136,Either Silas or Molly is a grocer,Molly is a grocer,0.835,0.123,0.042,entailment,Silas is a grocer,0.802,0.135,0.064,entailment,0.066,0.101,0.171,0.272
507,Either Katherine or Anita is a photographer,Katherine is a photographer,0.624,0.240,0.136,entailment,Anita is a photographer,0.674,0.209,0.117,entailment,0.100,Either Anita or Katherine is a photographer,Katherine is a photographer,0.573,0.234,0.193,entailment,Anita is a photographer,0.688,0.192,0.120,entailment,0.231,0.114,0.034,0.148
508,Either Connor or Ebony is a radiologist,Connor is a radiologist,0.714,0.179,0.107,entailment,Ebony is a radiologist,0.818,0.140,0.042,entailment,0.208,Either Ebony or Connor is a radiologist,Connor is a radiologist,0.767,0.159,0.074,entailment,Ebony is a radiologist,0.653,0.244,0.103,entailment,0.229,0.105,0.332,0.437
509,Either Dustin or Li is a cleaner,Dustin is a cleaner,0.533,0.371,0.096,entailment,Li is a cleaner,0.205,0.741,0.054,neutral,0.740,Either Li or Dustin is a cleaner,Dustin is a cleaner,0.637,0.274,0.089,entailment,Li is a cleaner,0.267,0.649,0.084,neutral,0.749,0.208,0.185,0.393
510,Either Amy or Chen Wee is an economist,Amy is an economist,0.286,0.623,0.091,neutral,Chen Wee is an economist,0.701,0.249,0.050,entailment,0.829,Either Chen Wee or Amy is an economist,Amy is an economist,0.462,0.490,0.049,neutral,Chen Wee is an economist,0.707,0.242,0.050,entailment,0.494,0.351,0.014,0.365
511,Either Craig or Kia is a historian,Craig is a historian,0.411,0.407,0.181,entailment,Kia is a historian,0.493,0.432,0.076,entailment,0.211,Either Kia or Craig is a historian,Craig is a historian,0.601,0.306,0.094,entailment,Kia is a historian,0.477,0.457,0.067,entailment,0.302,0.378,0.050,0.428
512,Either Greuze or Marquis is a cook,Greuze is a cook,0.828,0.136,0.037,entailment,Marquis is a cook,0.812,0.147,0.041,entailment,0.031,Either Marquis or Greuze is a cook,Greuze is a cook,0.822,0.123,0.056,entailment,Marquis is a cook,0.882,0.094,0.024,entailment,0.121,0.038,0.140,0.178
513,Either Dylan or Chong Ling is an opera singer,Dylan is an opera singer,0.718,0.140,0.141,entailment,Chong Ling is an opera singer,0.791,0.085,0.125,entailment,0.145,Either Chong Ling or Dylan is an opera singer,Dylan is an opera singer,0.766,0.077,0.157,entailment,Chong Ling is an opera singer,0.830,0.082,0.087,entailment,0.140,0.128,0.079,0.207
514,Either Ronnie or Wright is a hairdresser,Ronnie is a hairdresser,0.835,0.122,0.043,entailment,Wright is a hairdresser,0.811,0.139,0.050,entailment,0.048,Either Wright or Ronnie is a hairdresser,Ronnie is a hairdresser,0.904,0.061,0.035,entailment,Wright is a hairdresser,0.897,0.075,0.028,entailment,0.027,0.138,0.172,0.309
515,Either Molly or Adrin is a firefighter,Molly is a firefighter,0.590,0.322,0.088,entailment,Adrin is a firefighter,0.752,0.212,0.036,entailment,0.324,Either Adrin or Molly is a firefighter,Molly is a firefighter,0.660,0.255,0.085,entailment,Adrin is a firefighter,0.779,0.187,0.034,entailment,0.238,0.140,0.054,0.194
516,Either Prescott or Laquisha is a lawyer,Prescott is a lawyer,0.877,0.083,0.040,entailment,Laquisha is a lawyer,0.873,0.093,0.034,entailment,0.020,Either Laquisha or Prescott is a lawyer,Prescott is a lawyer,0.902,0.061,0.037,entailment,Laquisha is a lawyer,0.800,0.168,0.032,entailment,0.213,0.050,0.149,0.199
517,Either Emily or Raja is a lawyer,Emily is a lawyer,0.507,0.309,0.184,entailment,Raja is a lawyer,0.767,0.199,0.034,entailment,0.520,Either Raja or Emily is a lawyer,Emily is a lawyer,0.587,0.229,0.184,entailment,Raja is a lawyer,0.753,0.206,0.041,entailment,0.333,0.159,0.027,0.187
518,Either Inglethorp or Precious is a postman,Inglethorp is a postman,0.924,0.043,0.033,entailment,Precious is a postman,0.862,0.079,0.059,entailment,0.124,Either Precious or Inglethorp is a postman,Inglethorp is a postman,0.959,0.025,0.016,entailment,Precious is a postman,0.880,0.064,0.056,entailment,0.158,0.070,0.036,0.105
519,Either Hunter or Lamar is a laborer,Hunter is a laborer,0.881,0.095,0.024,entailment,Lamar is a laborer,0.780,0.166,0.054,entailment,0.202,Either Lamar or Hunter is a laborer,Hunter is a laborer,0.780,0.171,0.049,entailment,Lamar is a laborer,0.827,0.126,0.047,entailment,0.095,0.203,0.095,0.298
520,Either Jake or Tanisha is an artist,Jake is an artist,0.671,0.219,0.110,entailment,Tanisha is an artist,0.642,0.307,0.051,entailment,0.175,Either Tanisha or Jake is an artist,Jake is an artist,0.755,0.162,0.083,entailment,Tanisha is an artist,0.725,0.241,0.033,entailment,0.158,0.168,0.167,0.334
521,Either Essex or Trevon is a firefighter,Essex is a firefighter,0.823,0.116,0.061,entailment,Trevon is a firefighter,0.906,0.079,0.014,entailment,0.167,Either Trevon or Essex is a firefighter,Essex is a firefighter,0.863,0.105,0.032,entailment,Trevon is a firefighter,0.832,0.139,0.029,entailment,0.068,0.080,0.149,0.229
522,Either LeShawn or Wright is a hairdresser,LeShawn is a hairdresser,0.884,0.079,0.037,entailment,Wright is a hairdresser,0.903,0.058,0.039,entailment,0.041,Either Wright or LeShawn is a hairdresser,LeShawn is a hairdresser,0.892,0.064,0.044,entailment,Wright is a hairdresser,0.895,0.057,0.048,entailment,0.013,0.030,0.018,0.048
523,Either Amy or Tanisha is a physician,Amy is a physician,0.535,0.288,0.177,entailment,Tanisha is a physician,0.671,0.284,0.045,entailment,0.272,Either Tanisha or Amy is a physician,Amy is a physician,0.751,0.172,0.077,entailment,Tanisha is a physician,0.666,0.281,0.053,entailment,0.218,0.431,0.016,0.447
524,Either Claire or Chen Lang is a postman,Claire is a postman,0.749,0.205,0.046,entailment,Chen Lang is a postman,0.879,0.084,0.037,entailment,0.260,Either Chen Lang or Claire is a postman,Claire is a postman,0.858,0.110,0.033,entailment,Chen Lang is a postman,0.875,0.087,0.038,entailment,0.044,0.217,0.008,0.225
525,Either Cody or Diamond is an agent,Cody is an agent,0.611,0.298,0.091,entailment,Diamond is an agent,0.479,0.435,0.086,entailment,0.275,Either Diamond or Cody is an agent,Cody is an agent,0.676,0.240,0.084,entailment,Diamond is an agent,0.722,0.208,0.071,entailment,0.092,0.129,0.486,0.615
526,Either Scott or Precious is a laborer,Scott is a laborer,0.803,0.145,0.051,entailment,Precious is a laborer,0.781,0.151,0.068,entailment,0.045,Either Precious or Scott is a laborer,Scott is a laborer,0.821,0.128,0.051,entailment,Precious is a laborer,0.871,0.091,0.038,entailment,0.100,0.035,0.180,0.215
527,Either Prescott or Treyvone is a linguist,Prescott is a linguist,0.813,0.125,0.062,entailment,Treyvone is a linguist,0.858,0.109,0.033,entailment,0.089,Either Treyvone or Prescott is a linguist,Prescott is a linguist,0.865,0.090,0.046,entailment,Treyvone is a linguist,0.760,0.186,0.053,entailment,0.208,0.102,0.195,0.298
528,Either LeShawn or Ebony is a counselor,LeShawn is a counselor,0.887,0.077,0.036,entailment,Ebony is a counselor,0.880,0.098,0.022,entailment,0.042,Either Ebony or LeShawn is a counselor,LeShawn is a counselor,0.929,0.049,0.022,entailment,Ebony is a counselor,0.830,0.138,0.032,entailment,0.199,0.085,0.099,0.184
529,Either Jacob or Diamond is an inspector,Jacob is an inspector,0.519,0.259,0.222,entailment,Diamond is an inspector,0.455,0.389,0.155,entailment,0.261,Either Diamond or Jacob is an inspector,Jacob is an inspector,0.626,0.198,0.175,entailment,Diamond is an inspector,0.520,0.298,0.182,entailment,0.212,0.215,0.183,0.398
530,Either Amy or Gabriel is a painter,Amy is a painter,0.578,0.263,0.159,entailment,Gabriel is a painter,0.740,0.170,0.090,entailment,0.324,Either Gabriel or Amy is a painter,Amy is a painter,0.579,0.283,0.138,entailment,Gabriel is a painter,0.747,0.172,0.082,entailment,0.335,0.041,0.017,0.059
531,Either Inglethorp or Nina is an athlete,Inglethorp is an athlete,0.555,0.379,0.066,entailment,Nina is an athlete,0.710,0.249,0.040,entailment,0.310,Either Nina or Inglethorp is an athlete,Inglethorp is an athlete,0.657,0.292,0.050,entailment,Nina is an athlete,0.712,0.262,0.026,entailment,0.109,0.204,0.029,0.232
532,Either Essex or Anita is a guitarist,Essex is a guitarist,0.799,0.104,0.098,entailment,Anita is a guitarist,0.849,0.102,0.048,entailment,0.101,Either Anita or Essex is a guitarist,Essex is a guitarist,0.761,0.165,0.075,entailment,Anita is a guitarist,0.668,0.235,0.097,entailment,0.186,0.122,0.364,0.486
533,Either Brown or Terrell is a cleaner,Brown is a cleaner,0.566,0.386,0.048,entailment,Terrell is a cleaner,0.549,0.399,0.052,entailment,0.034,Either Terrell or Brown is a cleaner,Brown is a cleaner,0.543,0.399,0.059,entailment,Terrell is a cleaner,0.619,0.334,0.048,entailment,0.151,0.046,0.139,0.185
534,Either Jenna or Li is a drawer,Jenna is a drawer,0.721,0.130,0.149,entailment,Li is a drawer,0.320,0.359,0.321,neutral,0.800,Either Li or Jenna is a drawer,Jenna is a drawer,0.619,0.178,0.203,entailment,Li is a drawer,0.451,0.305,0.243,entailment,0.336,0.202,0.262,0.464
535,Either Jenna or Terrell is an author,Jenna is an author,0.868,0.095,0.037,entailment,Terrell is an author,0.668,0.197,0.136,entailment,0.401,Either Terrell or Jenna is an author,Jenna is an author,0.768,0.138,0.095,entailment,Terrell is an author,0.825,0.108,0.067,entailment,0.115,0.201,0.315,0.516
536,Either Hunter or Malik is a delivery,Hunter is a delivery,0.784,0.140,0.076,entailment,Malik is a delivery,0.643,0.193,0.164,entailment,0.281,Either Malik or Hunter is a delivery,Hunter is a delivery,0.613,0.234,0.153,entailment,Malik is a delivery,0.800,0.108,0.092,entailment,0.373,0.341,0.313,0.654
537,Either Inglethorp or Malik is an author,Inglethorp is an author,0.743,0.171,0.086,entailment,Malik is an author,0.789,0.143,0.068,entailment,0.093,Either Malik or Inglethorp is an author,Inglethorp is an author,0.851,0.100,0.049,entailment,Malik is an author,0.824,0.115,0.061,entailment,0.054,0.216,0.069,0.285
538,Either Cody or Jesus is an attourney,Cody is an attourney,0.432,0.413,0.154,entailment,Jesus is an attourney,0.123,0.640,0.237,neutral,0.619,Either Jesus or Cody is an attourney,Cody is an attourney,0.346,0.464,0.190,neutral,Jesus is an attourney,0.086,0.750,0.163,neutral,0.573,0.174,0.222,0.395
539,Either Jacob or Raja is an actor,Jacob is an actor,0.826,0.131,0.043,entailment,Raja is an actor,0.741,0.217,0.042,entailment,0.172,Either Raja or Jacob is an actor,Jacob is an actor,0.818,0.124,0.058,entailment,Raja is an actor,0.816,0.162,0.022,entailment,0.077,0.029,0.150,0.179
540,Either Dustin or Laquan is a tennis player,Dustin is a tennis player,0.720,0.209,0.071,entailment,Laquan is a tennis player,0.724,0.227,0.048,entailment,0.045,Either Laquan or Dustin is a tennis player,Dustin is a tennis player,0.759,0.128,0.113,entailment,Laquan is a tennis player,0.733,0.235,0.032,entailment,0.215,0.163,0.034,0.197
541,Either Craig or Chan is a security guard,Craig is a security guard,0.773,0.180,0.047,entailment,Chan is a security guard,0.738,0.219,0.043,entailment,0.078,Either Chan or Craig is a security guard,Craig is a security guard,0.895,0.090,0.015,entailment,Chan is a security guard,0.822,0.157,0.022,entailment,0.146,0.243,0.168,0.410
542,Either Molly or Feng Wu is a dentist,Molly is a dentist,0.716,0.234,0.050,entailment,Feng Wu is a dentist,0.942,0.044,0.014,entailment,0.452,Either Feng Wu or Molly is a dentist,Molly is a dentist,0.854,0.106,0.040,entailment,Feng Wu is a dentist,0.909,0.065,0.026,entailment,0.110,0.275,0.066,0.342
543,Either Inglethorp or Chen Wu is a salesperson,Inglethorp is a salesperson,0.838,0.120,0.043,entailment,Chen Wu is a salesperson,0.956,0.039,0.005,entailment,0.236,Either Chen Wu or Inglethorp is a salesperson,Inglethorp is a salesperson,0.887,0.084,0.029,entailment,Chen Wu is a salesperson,0.954,0.039,0.007,entailment,0.135,0.098,0.004,0.103
544,Either Jake or Kwame is a police officer,Jake is a police officer,0.493,0.330,0.177,entailment,Kwame is a police officer,0.777,0.184,0.039,entailment,0.568,Either Kwame or Jake is a police officer,Jake is a police officer,0.754,0.168,0.078,entailment,Kwame is a police officer,0.796,0.165,0.039,entailment,0.083,0.521,0.038,0.559
545,Either Cadan or Chen Lang is an actor,Cadan is an actor,0.858,0.128,0.015,entailment,Chen Lang is an actor,0.867,0.108,0.025,entailment,0.040,Either Chen Lang or Cadan is an actor,Cadan is an actor,0.818,0.164,0.018,entailment,Chen Lang is an actor,0.804,0.164,0.032,entailment,0.028,0.081,0.127,0.207
546,Either Cole or Tyresse is an actor,Cole is an actor,0.790,0.161,0.049,entailment,Tyresse is an actor,0.841,0.136,0.023,entailment,0.102,Either Tyresse or Cole is an actor,Cole is an actor,0.682,0.233,0.085,entailment,Tyresse is an actor,0.775,0.193,0.032,entailment,0.186,0.215,0.132,0.347
547,Either Hunter or Feng Wu is a magician,Hunter is a magician,0.501,0.455,0.044,entailment,Feng Wu is a magician,0.828,0.157,0.015,entailment,0.654,Either Feng Wu or Hunter is a magician,Hunter is a magician,0.619,0.339,0.042,entailment,Feng Wu is a magician,0.774,0.197,0.029,entailment,0.310,0.237,0.107,0.344
548,Either Jack or LeBron is a salesperson,Jack is a salesperson,0.840,0.122,0.038,entailment,LeBron is a salesperson,0.841,0.118,0.040,entailment,0.008,Either LeBron or Jack is a salesperson,Jack is a salesperson,0.614,0.244,0.142,entailment,LeBron is a salesperson,0.875,0.106,0.019,entailment,0.523,0.452,0.068,0.520
549,Either Greg or Miguel is a butler,Greg is a butler,0.252,0.631,0.116,neutral,Miguel is a butler,0.573,0.358,0.069,entailment,0.641,Either Miguel or Greg is a butler,Greg is a butler,0.401,0.499,0.100,neutral,Miguel is a butler,0.551,0.390,0.059,entailment,0.300,0.298,0.063,0.361
550,Either LeShawn or Joo-Lin is a mover,LeShawn is a mover,0.211,0.668,0.121,neutral,Joo-Lin is a mover,0.697,0.262,0.042,entailment,0.971,Either Joo-Lin or LeShawn is a mover,LeShawn is a mover,0.336,0.589,0.075,neutral,Joo-Lin is a mover,0.464,0.450,0.087,entailment,0.278,0.251,0.466,0.717
551,Either Cody or Tyresse is a pilot,Cody is a pilot,0.407,0.474,0.118,neutral,Tyresse is a pilot,0.632,0.295,0.073,entailment,0.450,Either Tyresse or Cody is a pilot,Cody is a pilot,0.459,0.431,0.110,entailment,Tyresse is a pilot,0.569,0.342,0.088,entailment,0.221,0.103,0.126,0.229
552,Either Ronnie or Chen is a singer,Ronnie is a singer,0.720,0.223,0.057,entailment,Chen is a singer,0.491,0.288,0.220,entailment,0.458,Either Chen or Ronnie is a singer,Ronnie is a singer,0.735,0.147,0.117,entailment,Chen is a singer,0.780,0.162,0.058,entailment,0.117,0.151,0.576,0.728
553,Either Craig or Precious is a laborer,Craig is a laborer,0.754,0.175,0.071,entailment,Precious is a laborer,0.736,0.190,0.074,entailment,0.035,Either Precious or Craig is a laborer,Craig is a laborer,0.856,0.115,0.029,entailment,Precious is a laborer,0.860,0.106,0.034,entailment,0.019,0.204,0.249,0.453
554,Either Dustin or Yang Wang is a poet,Dustin is a poet,0.755,0.194,0.051,entailment,Yang Wang is a poet,0.822,0.127,0.052,entailment,0.133,Either Yang Wang or Dustin is a poet,Dustin is a poet,0.766,0.151,0.082,entailment,Yang Wang is a poet,0.820,0.131,0.050,entailment,0.107,0.084,0.008,0.092
555,Either Cadan or Rajeev is a mover,Cadan is a mover,0.677,0.294,0.029,entailment,Rajeev is a mover,0.650,0.301,0.050,entailment,0.054,Either Rajeev or Cadan is a mover,Cadan is a mover,0.662,0.313,0.025,entailment,Rajeev is a mover,0.563,0.385,0.052,entailment,0.198,0.037,0.174,0.211
556,Either Emily or Maya is a nurse,Emily is a nurse,0.425,0.320,0.254,entailment,Maya is a nurse,0.583,0.305,0.112,entailment,0.316,Either Maya or Emily is a nurse,Emily is a nurse,0.425,0.314,0.262,entailment,Maya is a nurse,0.634,0.256,0.109,entailment,0.420,0.014,0.103,0.117
557,Either Craig or Kwame is a model,Craig is a model,0.655,0.257,0.088,entailment,Kwame is a model,0.422,0.418,0.160,entailment,0.466,Either Kwame or Craig is a model,Craig is a model,0.587,0.290,0.123,entailment,Kwame is a model,0.562,0.318,0.120,entailment,0.056,0.136,0.279,0.416
558,Either Hunter or Manuel is a dancer,Hunter is a dancer,0.600,0.327,0.073,entailment,Manuel is a dancer,0.721,0.224,0.055,entailment,0.241,Either Manuel or Hunter is a dancer,Hunter is a dancer,0.594,0.343,0.064,entailment,Manuel is a dancer,0.742,0.208,0.050,entailment,0.297,0.031,0.042,0.074
559,Either Dustin or Adrin is an inspector,Dustin is an inspector,0.720,0.167,0.113,entailment,Adrin is an inspector,0.668,0.225,0.107,entailment,0.116,Either Adrin or Dustin is an inspector,Dustin is an inspector,0.663,0.168,0.169,entailment,Adrin is an inspector,0.675,0.248,0.077,entailment,0.183,0.114,0.060,0.174
560,Either Katie or Maya is a dentist,Katie is a dentist,0.568,0.198,0.234,entailment,Maya is a dentist,0.675,0.213,0.112,entailment,0.244,Either Maya or Katie is a dentist,Katie is a dentist,0.646,0.162,0.192,entailment,Maya is a dentist,0.758,0.164,0.078,entailment,0.229,0.156,0.166,0.322
561,Either Prescott or Wang is an author,Prescott is an author,0.693,0.192,0.114,entailment,Wang is an author,0.697,0.172,0.131,entailment,0.040,Either Wang or Prescott is an author,Prescott is an author,0.699,0.179,0.122,entailment,Wang is an author,0.765,0.161,0.075,entailment,0.132,0.025,0.136,0.161
562,Either LeShawn or Adrin is an engineer,LeShawn is an engineer,0.529,0.413,0.058,entailment,Adrin is an engineer,0.581,0.397,0.022,entailment,0.104,Either Adrin or LeShawn is an engineer,LeShawn is an engineer,0.617,0.353,0.030,entailment,Adrin is an engineer,0.504,0.450,0.046,entailment,0.226,0.177,0.154,0.330
563,Either Emily or LeBron is a photographer,Emily is a photographer,0.708,0.167,0.125,entailment,LeBron is a photographer,0.761,0.142,0.097,entailment,0.107,Either LeBron or Emily is a photographer,Emily is a photographer,0.615,0.177,0.208,entailment,LeBron is a photographer,0.751,0.169,0.080,entailment,0.273,0.186,0.054,0.240
564,Either Jenna or Wright is a cook,Jenna is a cook,0.765,0.197,0.038,entailment,Wright is a cook,0.613,0.298,0.089,entailment,0.305,Either Wright or Jenna is a cook,Jenna is a cook,0.737,0.209,0.054,entailment,Wright is a cook,0.681,0.261,0.058,entailment,0.111,0.057,0.137,0.193
565,Either Scott or Tyrone is a chemist,Scott is a chemist,0.803,0.150,0.047,entailment,Tyrone is a chemist,0.662,0.310,0.029,entailment,0.319,Either Tyrone or Scott is a chemist,Scott is a chemist,0.737,0.181,0.082,entailment,Tyrone is a chemist,0.679,0.278,0.043,entailment,0.195,0.132,0.063,0.195
566,Either Cadan or Li is a photographer,Cadan is a photographer,0.829,0.136,0.035,entailment,Li is a photographer,0.720,0.198,0.082,entailment,0.218,Either Li or Cadan is a photographer,Cadan is a photographer,0.882,0.101,0.017,entailment,Li is a photographer,0.788,0.155,0.058,entailment,0.189,0.106,0.135,0.240
567,Either Cadan or Precious is a tailor,Cadan is a tailor,0.920,0.057,0.023,entailment,Precious is a tailor,0.844,0.108,0.048,entailment,0.151,Either Precious or Cadan is a tailor,Cadan is a tailor,0.936,0.051,0.012,entailment,Precious is a tailor,0.873,0.086,0.041,entailment,0.127,0.033,0.058,0.090
568,Either LeShawn or Treyvone is a chess player,LeShawn is a chess player,0.756,0.171,0.073,entailment,Treyvone is a chess player,0.871,0.096,0.033,entailment,0.230,Either Treyvone or LeShawn is a chess player,LeShawn is a chess player,0.793,0.140,0.067,entailment,Treyvone is a chess player,0.817,0.123,0.060,entailment,0.049,0.074,0.107,0.181
569,Either Amy or Chen Wee is a groom,Amy is a groom,0.351,0.426,0.223,neutral,Chen Wee is a groom,0.642,0.239,0.119,entailment,0.582,Either Chen Wee or Amy is a groom,Amy is a groom,0.652,0.212,0.136,entailment,Chen Wee is a groom,0.755,0.172,0.073,entailment,0.206,0.603,0.227,0.830
570,Either Dustin or Miguel is an attourney,Dustin is an attourney,0.471,0.331,0.198,entailment,Miguel is an attourney,0.493,0.376,0.130,entailment,0.135,Either Miguel or Dustin is an attourney,Dustin is an attourney,0.379,0.351,0.269,entailment,Miguel is an attourney,0.501,0.381,0.117,entailment,0.304,0.183,0.027,0.209
571,Either Cody or Lamar is a groom,Cody is a groom,0.528,0.356,0.116,entailment,Lamar is a groom,0.545,0.313,0.142,entailment,0.084,Either Lamar or Cody is a groom,Cody is a groom,0.570,0.295,0.134,entailment,Lamar is a groom,0.688,0.227,0.085,entailment,0.235,0.121,0.285,0.406
572,Either Scott or Raven is a dentist,Scott is a dentist,0.774,0.122,0.105,entailment,Raven is a dentist,0.817,0.147,0.036,entailment,0.136,Either Raven or Scott is a dentist,Scott is a dentist,0.906,0.054,0.040,entailment,Raven is a dentist,0.746,0.181,0.073,entailment,0.320,0.265,0.142,0.406
573,Either Dylan or Rajeev is a dentist,Dylan is a dentist,0.806,0.137,0.057,entailment,Rajeev is a dentist,0.941,0.047,0.012,entailment,0.270,Either Rajeev or Dylan is a dentist,Dylan is a dentist,0.901,0.071,0.028,entailment,Rajeev is a dentist,0.908,0.074,0.017,entailment,0.021,0.189,0.066,0.255
574,Either Prescott or Chin Pang is a painter,Prescott is a painter,0.873,0.093,0.033,entailment,Chin Pang is a painter,0.963,0.030,0.007,entailment,0.179,Either Chin Pang or Prescott is a painter,Prescott is a painter,0.838,0.119,0.042,entailment,Chin Pang is a painter,0.916,0.069,0.015,entailment,0.156,0.070,0.093,0.163
575,Either Emily or Javier is a tennis player,Emily is a tennis player,0.656,0.268,0.076,entailment,Javier is a tennis player,0.797,0.117,0.086,entailment,0.302,Either Javier or Emily is a tennis player,Emily is a tennis player,0.488,0.366,0.146,entailment,Javier is a tennis player,0.756,0.136,0.108,entailment,0.536,0.336,0.082,0.418
576,Either Jake or Jorge is a lawyer,Jake is a lawyer,0.422,0.378,0.200,entailment,Jorge is a lawyer,0.662,0.229,0.109,entailment,0.480,Either Jorge or Jake is a lawyer,Jake is a lawyer,0.585,0.289,0.126,entailment,Jorge is a lawyer,0.794,0.171,0.036,entailment,0.418,0.326,0.264,0.590
