,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
517,Neither Emily or Raja is a lawyer,Emily is not a lawyer,0.895,0.075,0.031,entailment,Raja is not a lawyer,0.690,0.136,0.174,entailment,0.408,Neither Raja or Emily is a lawyer,Emily is not a lawyer,0.829,0.086,0.085,entailment,Raja is not a lawyer,0.770,0.152,0.078,entailment,0.132,0.130,0.191,0.322
518,Neither Inglethorp or Precious is a postman,Inglethorp is not a postman,0.810,0.095,0.096,entailment,Precious is not a postman,0.788,0.081,0.130,entailment,0.069,Neither Precious or Inglethorp is a postman,Inglethorp is not a postman,0.775,0.086,0.139,entailment,Precious is not a postman,0.868,0.084,0.047,entailment,0.187,0.087,0.166,0.253
519,Neither Hunter or Lamar is a laborer,Hunter is not a laborer,0.859,0.099,0.043,entailment,Lamar is not a laborer,0.857,0.092,0.051,entailment,0.017,Neither Lamar or Hunter is a laborer,Hunter is not a laborer,0.820,0.123,0.057,entailment,Lamar is not a laborer,0.900,0.082,0.018,entailment,0.161,0.078,0.085,0.163
520,Neither Jake or Tanisha is an artist,Jake is not an artist,0.840,0.097,0.063,entailment,Tanisha is not an artist,0.635,0.102,0.263,entailment,0.412,Neither Tanisha or Jake is an artist,Jake is not an artist,0.807,0.109,0.084,entailment,Tanisha is not an artist,0.793,0.102,0.105,entailment,0.042,0.068,0.317,0.385
521,Neither Essex or Trevon is a firefighter,Essex is not a firefighter,0.890,0.076,0.034,entailment,Trevon is not a firefighter,0.755,0.070,0.175,entailment,0.283,Neither Trevon or Essex is a firefighter,Essex is not a firefighter,0.841,0.083,0.076,entailment,Trevon is not a firefighter,0.867,0.074,0.059,entailment,0.052,0.098,0.233,0.331
522,Neither LeShawn or Wright is a hairdresser,LeShawn is not a hairdresser,0.833,0.067,0.101,entailment,Wright is not a hairdresser,0.852,0.069,0.079,entailment,0.044,Neither Wright or LeShawn is a hairdresser,LeShawn is not a hairdresser,0.732,0.077,0.190,entailment,Wright is not a hairdresser,0.863,0.072,0.065,entailment,0.261,0.200,0.028,0.229
523,Neither Amy or Tanisha is a physician,Amy is not a physician,0.865,0.089,0.045,entailment,Tanisha is not a physician,0.730,0.103,0.167,entailment,0.270,Neither Tanisha or Amy is a physician,Amy is not a physician,0.829,0.106,0.065,entailment,Tanisha is not a physician,0.835,0.095,0.070,entailment,0.021,0.071,0.208,0.280
524,Neither Claire or Chen Lang is a postman,Claire is not a postman,0.891,0.079,0.030,entailment,Chen Lang is not a postman,0.853,0.073,0.073,entailment,0.086,Neither Chen Lang or Claire is a postman,Claire is not a postman,0.883,0.071,0.046,entailment,Chen Lang is not a postman,0.888,0.067,0.045,entailment,0.010,0.032,0.068,0.101
525,Neither Cody or Diamond is an agent,Cody is not an agent,0.873,0.090,0.037,entailment,Diamond is not an agent,0.848,0.110,0.042,entailment,0.050,Neither Diamond or Cody is an agent,Cody is not an agent,0.833,0.093,0.074,entailment,Diamond is not an agent,0.904,0.062,0.034,entailment,0.143,0.081,0.112,0.193
526,Neither Scott or Precious is a laborer,Scott is not a laborer,0.914,0.068,0.017,entailment,Precious is not a laborer,0.848,0.100,0.052,entailment,0.133,Neither Precious or Scott is a laborer,Scott is not a laborer,0.878,0.080,0.042,entailment,Precious is not a laborer,0.911,0.068,0.021,entailment,0.067,0.073,0.127,0.200
527,Neither Prescott or Treyvone is a linguist,Prescott is not a linguist,0.885,0.082,0.034,entailment,Treyvone is not a linguist,0.758,0.086,0.155,entailment,0.253,Neither Treyvone or Prescott is a linguist,Prescott is not a linguist,0.821,0.078,0.101,entailment,Treyvone is not a linguist,0.817,0.090,0.093,entailment,0.025,0.135,0.124,0.260
528,Neither LeShawn or Ebony is a counselor,LeShawn is not a counselor,0.862,0.076,0.062,entailment,Ebony is not a counselor,0.788,0.108,0.104,entailment,0.148,Neither Ebony or LeShawn is a counselor,LeShawn is not a counselor,0.722,0.077,0.201,entailment,Ebony is not a counselor,0.855,0.096,0.049,entailment,0.304,0.280,0.134,0.414
529,Neither Jacob or Diamond is an inspector,Jacob is not an inspector,0.882,0.097,0.021,entailment,Diamond is not an inspector,0.796,0.149,0.056,entailment,0.172,Neither Diamond or Jacob is an inspector,Jacob is not an inspector,0.859,0.088,0.053,entailment,Diamond is not an inspector,0.870,0.095,0.035,entailment,0.035,0.063,0.148,0.211
530,Neither Amy or Gabriel is a painter,Amy is not a painter,0.864,0.093,0.042,entailment,Gabriel is not a painter,0.825,0.110,0.065,entailment,0.079,Neither Gabriel or Amy is a painter,Amy is not a painter,0.795,0.111,0.094,entailment,Gabriel is not a painter,0.894,0.083,0.022,entailment,0.199,0.139,0.138,0.277
531,Neither Inglethorp or Nina is an athlete,Inglethorp is not an athlete,0.874,0.084,0.042,entailment,Nina is not an athlete,0.865,0.063,0.072,entailment,0.061,Neither Nina or Inglethorp is an athlete,Inglethorp is not an athlete,0.856,0.088,0.056,entailment,Nina is not an athlete,0.888,0.072,0.040,entailment,0.064,0.034,0.065,0.100
532,Neither Essex or Anita is a guitarist,Essex is not a guitarist,0.898,0.065,0.037,entailment,Anita is not a guitarist,0.831,0.087,0.082,entailment,0.135,Neither Anita or Essex is a guitarist,Essex is not a guitarist,0.871,0.079,0.050,entailment,Anita is not a guitarist,0.887,0.083,0.031,entailment,0.040,0.055,0.111,0.166
533,Neither Brown or Terrell is a cleaner,Brown is not a cleaner,0.892,0.084,0.024,entailment,Terrell is not a cleaner,0.859,0.106,0.035,entailment,0.066,Neither Terrell or Brown is a cleaner,Brown is not a cleaner,0.874,0.095,0.031,entailment,Terrell is not a cleaner,0.886,0.099,0.016,entailment,0.032,0.037,0.053,0.090
534,Neither Jenna or Li is a drawer,Jenna is not a drawer,0.872,0.090,0.037,entailment,Li is not a drawer,0.768,0.169,0.063,entailment,0.209,Neither Li or Jenna is a drawer,Jenna is not a drawer,0.831,0.107,0.062,entailment,Li is not a drawer,0.853,0.111,0.037,entailment,0.051,0.083,0.170,0.253
535,Neither Jenna or Terrell is an author,Jenna is not an author,0.883,0.065,0.052,entailment,Terrell is not an author,0.831,0.091,0.077,entailment,0.103,Neither Terrell or Jenna is an author,Jenna is not an author,0.807,0.084,0.109,entailment,Terrell is not an author,0.897,0.060,0.042,entailment,0.181,0.152,0.132,0.284
536,Neither Hunter or Malik is a delivery,Hunter is not a delivery,0.872,0.093,0.035,entailment,Malik is not a delivery,0.819,0.097,0.084,entailment,0.105,Neither Malik or Hunter is a delivery,Hunter is not a delivery,0.825,0.119,0.056,entailment,Malik is not a delivery,0.873,0.087,0.040,entailment,0.096,0.095,0.107,0.201
537,Neither Inglethorp or Malik is an author,Inglethorp is not an author,0.816,0.098,0.086,entailment,Malik is not an author,0.703,0.082,0.215,entailment,0.258,Neither Malik or Inglethorp is an author,Inglethorp is not an author,0.760,0.105,0.135,entailment,Malik is not an author,0.848,0.078,0.074,entailment,0.177,0.113,0.291,0.403
538,Neither Cody or Jesus is an attourney,Cody is not an attourney,0.853,0.116,0.031,entailment,Jesus is not an attourney,0.749,0.173,0.078,entailment,0.209,Neither Jesus or Cody is an attourney,Cody is not an attourney,0.823,0.138,0.039,entailment,Jesus is not an attourney,0.781,0.184,0.035,entailment,0.094,0.061,0.086,0.146
539,Neither Jacob or Raja is an actor,Jacob is not an actor,0.895,0.067,0.038,entailment,Raja is not an actor,0.810,0.098,0.093,entailment,0.171,Neither Raja or Jacob is an actor,Jacob is not an actor,0.860,0.076,0.064,entailment,Raja is not an actor,0.841,0.107,0.052,entailment,0.062,0.070,0.081,0.151
540,Neither Dustin or Laquan is a tennis player,Dustin is not a tennis player,0.811,0.079,0.110,entailment,Laquan is not a tennis player,0.759,0.097,0.144,entailment,0.103,Neither Laquan or Dustin is a tennis player,Dustin is not a tennis player,0.859,0.071,0.070,entailment,Laquan is not a tennis player,0.800,0.096,0.104,entailment,0.119,0.097,0.081,0.178
541,Neither Craig or Chan is a security guard,Craig is not a security guard,0.907,0.073,0.020,entailment,Chan is not a security guard,0.868,0.093,0.038,entailment,0.077,Neither Chan or Craig is a security guard,Craig is not a security guard,0.898,0.072,0.030,entailment,Chan is not a security guard,0.903,0.072,0.025,entailment,0.011,0.020,0.070,0.089
542,Neither Molly or Feng Wu is a dentist,Molly is not a dentist,0.847,0.122,0.031,entailment,Feng Wu is not a dentist,0.651,0.093,0.256,entailment,0.450,Neither Feng Wu or Molly is a dentist,Molly is not a dentist,0.824,0.109,0.067,entailment,Feng Wu is not a dentist,0.838,0.090,0.072,entailment,0.037,0.073,0.374,0.446
543,Neither Inglethorp or Chen Wu is a salesperson,Inglethorp is not a salesperson,0.836,0.115,0.049,entailment,Chen Wu is not a salesperson,0.878,0.052,0.069,entailment,0.125,Neither Chen Wu or Inglethorp is a salesperson,Inglethorp is not a salesperson,0.797,0.107,0.096,entailment,Chen Wu is not a salesperson,0.918,0.052,0.030,entailment,0.242,0.094,0.079,0.173
544,Neither Jake or Kwame is a police officer,Jake is not a police officer,0.873,0.076,0.050,entailment,Kwame is not a police officer,0.830,0.076,0.093,entailment,0.086,Neither Kwame or Jake is a police officer,Jake is not a police officer,0.821,0.095,0.084,entailment,Kwame is not a police officer,0.895,0.065,0.041,entailment,0.148,0.105,0.128,0.234
545,Neither Cadan or Chen Lang is an actor,Cadan is not an actor,0.897,0.076,0.027,entailment,Chen Lang is not an actor,0.924,0.049,0.027,entailment,0.053,Neither Chen Lang or Cadan is an actor,Cadan is not an actor,0.862,0.073,0.065,entailment,Chen Lang is not an actor,0.917,0.053,0.030,entailment,0.110,0.075,0.013,0.088
546,Neither Cole or Tyresse is an actor,Cole is not an actor,0.897,0.065,0.038,entailment,Tyresse is not an actor,0.865,0.070,0.065,entailment,0.064,Neither Tyresse or Cole is an actor,Cole is not an actor,0.844,0.091,0.064,entailment,Tyresse is not an actor,0.890,0.070,0.040,entailment,0.092,0.106,0.050,0.156
547,Neither Hunter or Feng Wu is a magician,Hunter is not a magician,0.779,0.186,0.035,entailment,Feng Wu is not a magician,0.801,0.108,0.091,entailment,0.155,Neither Feng Wu or Hunter is a magician,Hunter is not a magician,0.756,0.180,0.064,entailment,Feng Wu is not a magician,0.851,0.108,0.041,entailment,0.191,0.058,0.101,0.159
548,Neither Jack or LeBron is a salesperson,Jack is not a salesperson,0.831,0.115,0.054,entailment,LeBron is not a salesperson,0.882,0.072,0.046,entailment,0.103,Neither LeBron or Jack is a salesperson,Jack is not a salesperson,0.761,0.163,0.076,entailment,LeBron is not a salesperson,0.919,0.063,0.019,entailment,0.316,0.140,0.073,0.213
549,Neither Greg or Miguel is a butler,Greg is not a butler,0.824,0.134,0.042,entailment,Miguel is not a butler,0.842,0.116,0.042,entailment,0.036,Neither Miguel or Greg is a butler,Greg is not a butler,0.713,0.195,0.092,entailment,Miguel is not a butler,0.855,0.106,0.039,entailment,0.285,0.223,0.027,0.249
550,Neither LeShawn or Joo-Lin is a mover,LeShawn is not a mover,0.878,0.098,0.024,entailment,Joo-Lin is not a mover,0.780,0.095,0.125,entailment,0.202,Neither Joo-Lin or LeShawn is a mover,LeShawn is not a mover,0.810,0.130,0.061,entailment,Joo-Lin is not a mover,0.854,0.093,0.053,entailment,0.088,0.136,0.148,0.284
551,Neither Cody or Tyresse is a pilot,Cody is not a pilot,0.878,0.087,0.035,entailment,Tyresse is not a pilot,0.856,0.082,0.061,entailment,0.052,Neither Tyresse or Cody is a pilot,Cody is not a pilot,0.854,0.087,0.059,entailment,Tyresse is not a pilot,0.900,0.070,0.030,entailment,0.093,0.047,0.088,0.135
552,Neither Ronnie or Chen is a singer,Ronnie is not a singer,0.900,0.067,0.033,entailment,Chen is not a singer,0.826,0.084,0.090,entailment,0.149,Neither Chen or Ronnie is a singer,Ronnie is not a singer,0.888,0.069,0.043,entailment,Chen is not a singer,0.879,0.068,0.053,entailment,0.020,0.025,0.107,0.131
553,Neither Craig or Precious is a laborer,Craig is not a laborer,0.883,0.092,0.024,entailment,Precious is not a laborer,0.842,0.104,0.054,entailment,0.083,Neither Precious or Craig is a laborer,Craig is not a laborer,0.850,0.096,0.054,entailment,Precious is not a laborer,0.911,0.068,0.021,entailment,0.122,0.067,0.138,0.205
554,Neither Dustin or Yang Wang is a poet,Dustin is not a poet,0.829,0.119,0.052,entailment,Yang Wang is not a poet,0.799,0.117,0.083,entailment,0.062,Neither Yang Wang or Dustin is a poet,Dustin is not a poet,0.792,0.133,0.075,entailment,Yang Wang is not a poet,0.812,0.112,0.076,entailment,0.040,0.073,0.025,0.098
555,Neither Cadan or Rajeev is a mover,Cadan is not a mover,0.910,0.072,0.018,entailment,Rajeev is not a mover,0.883,0.088,0.029,entailment,0.053,Neither Rajeev or Cadan is a mover,Cadan is not a mover,0.871,0.099,0.030,entailment,Rajeev is not a mover,0.896,0.085,0.019,entailment,0.051,0.078,0.027,0.104
556,Neither Emily or Maya is a nurse,Emily is not a nurse,0.893,0.072,0.036,entailment,Maya is not a nurse,0.790,0.102,0.108,entailment,0.206,Neither Maya or Emily is a nurse,Emily is not a nurse,0.749,0.098,0.154,entailment,Maya is not a nurse,0.864,0.079,0.057,entailment,0.230,0.289,0.147,0.436
557,Neither Craig or Kwame is a model,Craig is not a model,0.903,0.080,0.017,entailment,Kwame is not a model,0.891,0.077,0.032,entailment,0.031,Neither Kwame or Craig is a model,Craig is not a model,0.850,0.117,0.033,entailment,Kwame is not a model,0.917,0.058,0.025,entailment,0.133,0.105,0.052,0.157
558,Neither Hunter or Manuel is a dancer,Hunter is not a dancer,0.862,0.098,0.040,entailment,Manuel is not a dancer,0.822,0.106,0.072,entailment,0.079,Neither Manuel or Hunter is a dancer,Hunter is not a dancer,0.813,0.116,0.071,entailment,Manuel is not a dancer,0.857,0.105,0.038,entailment,0.087,0.097,0.069,0.167
559,Neither Dustin or Adrin is an inspector,Dustin is not an inspector,0.900,0.072,0.029,entailment,Adrin is not an inspector,0.788,0.138,0.074,entailment,0.223,Neither Adrin or Dustin is an inspector,Dustin is not an inspector,0.859,0.081,0.059,entailment,Adrin is not an inspector,0.849,0.110,0.040,entailment,0.058,0.080,0.122,0.203
560,Neither Katie or Maya is a dentist,Katie is not a dentist,0.880,0.086,0.034,entailment,Maya is not a dentist,0.837,0.092,0.071,entailment,0.085,Neither Maya or Katie is a dentist,Katie is not a dentist,0.848,0.084,0.068,entailment,Maya is not a dentist,0.896,0.075,0.029,entailment,0.094,0.066,0.118,0.184
561,Neither Prescott or Wang is an author,Prescott is not an author,0.893,0.070,0.037,entailment,Wang is not an author,0.832,0.085,0.083,entailment,0.122,Neither Wang or Prescott is an author,Prescott is not an author,0.855,0.086,0.059,entailment,Wang is not an author,0.874,0.078,0.048,entailment,0.038,0.077,0.083,0.160
562,Neither LeShawn or Adrin is an engineer,LeShawn is not an engineer,0.813,0.115,0.072,entailment,Adrin is not an engineer,0.781,0.144,0.075,entailment,0.064,Neither Adrin or LeShawn is an engineer,LeShawn is not an engineer,0.785,0.124,0.091,entailment,Adrin is not an engineer,0.819,0.124,0.057,entailment,0.069,0.056,0.076,0.132
563,Neither Emily or LeBron is a photographer,Emily is not a photographer,0.827,0.105,0.068,entailment,LeBron is not a photographer,0.754,0.080,0.167,entailment,0.196,Neither LeBron or Emily is a photographer,Emily is not a photographer,0.735,0.114,0.151,entailment,LeBron is not a photographer,0.881,0.077,0.042,entailment,0.292,0.185,0.255,0.439
564,Neither Jenna or Wright is a cook,Jenna is not a cook,0.879,0.091,0.030,entailment,Wright is not a cook,0.877,0.102,0.021,entailment,0.022,Neither Wright or Jenna is a cook,Jenna is not a cook,0.821,0.109,0.070,entailment,Wright is not a cook,0.895,0.089,0.017,entailment,0.147,0.116,0.035,0.151
565,Neither Scott or Tyrone is a chemist,Scott is not a chemist,0.864,0.084,0.052,entailment,Tyrone is not a chemist,0.850,0.084,0.066,entailment,0.027,Neither Tyrone or Scott is a chemist,Scott is not a chemist,0.830,0.084,0.087,entailment,Tyrone is not a chemist,0.882,0.087,0.031,entailment,0.112,0.069,0.070,0.139
566,Neither Cadan or Li is a photographer,Cadan is not a photographer,0.810,0.104,0.086,entailment,Li is not a photographer,0.746,0.120,0.134,entailment,0.128,Neither Li or Cadan is a photographer,Cadan is not a photographer,0.733,0.111,0.155,entailment,Li is not a photographer,0.807,0.113,0.080,entailment,0.150,0.154,0.121,0.275
567,Neither Cadan or Precious is a tailor,Cadan is not a tailor,0.797,0.123,0.080,entailment,Precious is not a tailor,0.793,0.101,0.106,entailment,0.051,Neither Precious or Cadan is a tailor,Cadan is not a tailor,0.718,0.134,0.148,entailment,Precious is not a tailor,0.851,0.097,0.053,entailment,0.266,0.158,0.115,0.273
568,Neither LeShawn or Treyvone is a chess player,LeShawn is not a chess player,0.810,0.098,0.092,entailment,Treyvone is not a chess player,0.859,0.069,0.072,entailment,0.098,Neither Treyvone or LeShawn is a chess player,LeShawn is not a chess player,0.779,0.088,0.133,entailment,Treyvone is not a chess player,0.784,0.087,0.129,entailment,0.010,0.083,0.151,0.234
569,Neither Amy or Chen Wee is a groom,Amy is not a groom,0.907,0.073,0.020,entailment,Chen Wee is not a groom,0.877,0.079,0.044,entailment,0.059,Neither Chen Wee or Amy is a groom,Amy is not a groom,0.872,0.076,0.052,entailment,Chen Wee is not a groom,0.919,0.057,0.024,entailment,0.093,0.069,0.083,0.152
570,Neither Dustin or Miguel is an attourney,Dustin is not an attourney,0.872,0.095,0.034,entailment,Miguel is not an attourney,0.833,0.129,0.038,entailment,0.077,Neither Miguel or Dustin is an attourney,Dustin is not an attourney,0.775,0.146,0.079,entailment,Miguel is not an attourney,0.886,0.092,0.022,entailment,0.223,0.194,0.106,0.300
571,Neither Cody or Lamar is a groom,Cody is not a groom,0.865,0.099,0.036,entailment,Lamar is not a groom,0.843,0.109,0.048,entailment,0.045,Neither Lamar or Cody is a groom,Cody is not a groom,0.849,0.101,0.049,entailment,Lamar is not a groom,0.912,0.072,0.016,entailment,0.126,0.031,0.139,0.171
572,Neither Scott or Raven is a dentist,Scott is not a dentist,0.906,0.070,0.024,entailment,Raven is not a dentist,0.856,0.087,0.057,entailment,0.100,Neither Raven or Scott is a dentist,Scott is not a dentist,0.848,0.070,0.082,entailment,Raven is not a dentist,0.886,0.076,0.039,entailment,0.088,0.118,0.059,0.177
573,Neither Dylan or Rajeev is a dentist,Dylan is not a dentist,0.875,0.097,0.028,entailment,Rajeev is not a dentist,0.699,0.101,0.200,entailment,0.353,Neither Rajeev or Dylan is a dentist,Dylan is not a dentist,0.838,0.098,0.063,entailment,Rajeev is not a dentist,0.786,0.116,0.098,entailment,0.105,0.074,0.203,0.277
574,Neither Prescott or Chin Pang is a painter,Prescott is not a painter,0.858,0.124,0.018,entailment,Chin Pang is not a painter,0.813,0.090,0.097,entailment,0.157,Neither Chin Pang or Prescott is a painter,Prescott is not a painter,0.839,0.115,0.047,entailment,Chin Pang is not a painter,0.855,0.098,0.047,entailment,0.033,0.058,0.099,0.156
575,Neither Emily or Javier is a tennis player,Emily is not a tennis player,0.889,0.068,0.042,entailment,Javier is not a tennis player,0.839,0.063,0.098,entailment,0.111,Neither Javier or Emily is a tennis player,Emily is not a tennis player,0.793,0.107,0.100,entailment,Javier is not a tennis player,0.901,0.061,0.038,entailment,0.216,0.193,0.124,0.317
576,Neither Jake or Jorge is a lawyer,Jake is not a lawyer,0.887,0.081,0.032,entailment,Jorge is not a lawyer,0.835,0.092,0.073,entailment,0.104,Neither Jorge or Jake is a lawyer,Jake is not a lawyer,0.794,0.114,0.091,entailment,Jorge is not a lawyer,0.884,0.078,0.038,entailment,0.178,0.184,0.098,0.282
577,Neither Dylan or Carlos is a supervisor,Dylan is not a supervisor,0.900,0.074,0.026,entailment,Carlos is not a supervisor,0.798,0.109,0.093,entailment,0.204,Neither Carlos or Dylan is a supervisor,Dylan is not a supervisor,0.843,0.100,0.058,entailment,Carlos is not a supervisor,0.834,0.103,0.063,entailment,0.018,0.115,0.072,0.186
578,Neither Prescott or Beyonce is a mathematician,Prescott is not a mathematician,0.812,0.157,0.030,entailment,Beyonce is not a mathematician,0.773,0.154,0.073,entailment,0.086,Neither Beyonce or Prescott is a mathematician,Prescott is not a mathematician,0.780,0.155,0.065,entailment,Beyonce is not a mathematician,0.797,0.171,0.032,entailment,0.066,0.069,0.082,0.151
579,Neither Brown or Gabriel is a counselor,Brown is not a counselor,0.854,0.088,0.058,entailment,Gabriel is not a counselor,0.854,0.070,0.076,entailment,0.037,Neither Gabriel or Brown is a counselor,Brown is not a counselor,0.795,0.101,0.104,entailment,Gabriel is not a counselor,0.904,0.070,0.026,entailment,0.217,0.118,0.100,0.218
580,Neither Connor or Shaniqua is a surgeon,Connor is not a surgeon,0.850,0.114,0.037,entailment,Shaniqua is not a surgeon,0.781,0.085,0.134,entailment,0.195,Neither Shaniqua or Connor is a surgeon,Connor is not a surgeon,0.803,0.123,0.074,entailment,Shaniqua is not a surgeon,0.833,0.084,0.083,entailment,0.077,0.093,0.104,0.196
581,Neither Essex or Gabriel is a diplomat,Essex is not a diplomat,0.886,0.082,0.032,entailment,Gabriel is not a diplomat,0.855,0.070,0.075,entailment,0.088,Neither Gabriel or Essex is a diplomat,Essex is not a diplomat,0.872,0.078,0.050,entailment,Gabriel is not a diplomat,0.893,0.076,0.031,entailment,0.043,0.037,0.089,0.126
582,Neither Abigail or Chang is an inspector,Abigail is not an inspector,0.861,0.102,0.037,entailment,Chang is not an inspector,0.824,0.120,0.057,entailment,0.075,Neither Chang or Abigail is an inspector,Abigail is not an inspector,0.785,0.118,0.097,entailment,Chang is not an inspector,0.865,0.100,0.035,entailment,0.161,0.153,0.083,0.236
583,Neither Greuze or D'quan is a comedian,Greuze is not a comedian,0.791,0.114,0.095,entailment,D'quan is not a comedian,0.718,0.109,0.174,entailment,0.156,Neither D'quan or Greuze is a comedian,Greuze is not a comedian,0.709,0.108,0.183,entailment,D'quan is not a comedian,0.747,0.122,0.131,entailment,0.103,0.174,0.085,0.259
584,Neither Jenna or Chen Wee is a security guard,Jenna is not a security guard,0.916,0.063,0.021,entailment,Chen Wee is not a security guard,0.879,0.067,0.054,entailment,0.075,Neither Chen Wee or Jenna is a security guard,Jenna is not a security guard,0.882,0.057,0.060,entailment,Chen Wee is not a security guard,0.922,0.050,0.028,entailment,0.079,0.079,0.085,0.164
585,Neither Claire or Adrin is an architect,Claire is not an architect,0.919,0.062,0.019,entailment,Adrin is not an architect,0.846,0.100,0.053,entailment,0.145,Neither Adrin or Claire is an architect,Claire is not an architect,0.876,0.078,0.046,entailment,Adrin is not an architect,0.900,0.073,0.027,entailment,0.048,0.086,0.107,0.193
586,Neither Craig or Raven is a singer,Craig is not a singer,0.882,0.079,0.038,entailment,Raven is not a singer,0.853,0.086,0.062,entailment,0.059,Neither Raven or Craig is a singer,Craig is not a singer,0.845,0.076,0.079,entailment,Raven is not a singer,0.908,0.058,0.034,entailment,0.126,0.081,0.111,0.192
587,Neither Molly or Jamal is a cleric,Molly is not a cleric,0.904,0.077,0.019,entailment,Jamal is not a cleric,0.837,0.069,0.094,entailment,0.150,Neither Jamal or Molly is a cleric,Molly is not a cleric,0.816,0.127,0.057,entailment,Jamal is not a cleric,0.910,0.064,0.026,entailment,0.189,0.176,0.147,0.323
588,Neither Katie or Trevon is a judge,Katie is not a judge,0.873,0.080,0.047,entailment,Trevon is not a judge,0.799,0.083,0.119,entailment,0.149,Neither Trevon or Katie is a judge,Katie is not a judge,0.824,0.084,0.093,entailment,Trevon is not a judge,0.909,0.062,0.029,entailment,0.171,0.099,0.221,0.320
589,Neither Jack or Precious is an entrepreneur,Jack is not an entrepreneur,0.858,0.097,0.044,entailment,Precious is not an entrepreneur,0.801,0.102,0.097,entailment,0.115,Neither Precious or Jack is an entrepreneur,Jack is not an entrepreneur,0.792,0.101,0.107,entailment,Precious is not an entrepreneur,0.897,0.070,0.033,entailment,0.210,0.132,0.194,0.325
590,Neither Carly or Lamar is a photographer,Carly is not a photographer,0.815,0.114,0.071,entailment,Lamar is not a photographer,0.782,0.123,0.095,entailment,0.067,Neither Lamar or Carly is a photographer,Carly is not a photographer,0.750,0.128,0.122,entailment,Lamar is not a photographer,0.869,0.100,0.031,entailment,0.238,0.130,0.175,0.305
591,Neither Ronnie or Anita is a delivery,Ronnie is not a delivery,0.893,0.088,0.019,entailment,Anita is not a delivery,0.810,0.150,0.040,entailment,0.166,Neither Anita or Ronnie is a delivery,Ronnie is not a delivery,0.830,0.127,0.043,entailment,Anita is not a delivery,0.882,0.098,0.020,entailment,0.103,0.126,0.144,0.269
592,Neither Craig or Wright is a mechanic,Craig is not a mechanic,0.887,0.088,0.025,entailment,Wright is not a mechanic,0.882,0.095,0.023,entailment,0.015,Neither Wright or Craig is a mechanic,Craig is not a mechanic,0.851,0.099,0.050,entailment,Wright is not a mechanic,0.914,0.072,0.014,entailment,0.127,0.074,0.065,0.138
593,Neither LeShawn or Joo-Lin is a painter,LeShawn is not a painter,0.810,0.119,0.072,entailment,Joo-Lin is not a painter,0.659,0.099,0.241,entailment,0.339,Neither Joo-Lin or LeShawn is a painter,LeShawn is not a painter,0.747,0.122,0.131,entailment,Joo-Lin is not a painter,0.737,0.121,0.142,entailment,0.022,0.124,0.199,0.323
594,Neither Ronnie or Terrell is an athlete,Ronnie is not an athlete,0.918,0.054,0.028,entailment,Terrell is not an athlete,0.874,0.079,0.047,entailment,0.089,Neither Terrell or Ronnie is an athlete,Ronnie is not an athlete,0.892,0.072,0.036,entailment,Terrell is not an athlete,0.911,0.065,0.024,entailment,0.037,0.052,0.074,0.126
595,Neither Ronnie or Kwame is a chemist,Ronnie is not a chemist,0.891,0.080,0.029,entailment,Kwame is not a chemist,0.840,0.076,0.084,entailment,0.109,Neither Kwame or Ronnie is a chemist,Ronnie is not a chemist,0.885,0.075,0.039,entailment,Kwame is not a chemist,0.873,0.090,0.037,entailment,0.030,0.020,0.094,0.114
596,Neither Amy or Won San Lee is a surgeon,Amy is not a surgeon,0.837,0.119,0.045,entailment,Won San Lee is not a surgeon,0.688,0.107,0.205,entailment,0.320,Neither Won San Lee or Amy is a surgeon,Amy is not a surgeon,0.782,0.108,0.110,entailment,Won San Lee is not a surgeon,0.794,0.097,0.109,entailment,0.024,0.131,0.210,0.341
597,Neither Brown or Kwame is a banker,Brown is not a banker,0.898,0.082,0.021,entailment,Kwame is not a banker,0.880,0.068,0.052,entailment,0.063,Neither Kwame or Brown is a banker,Brown is not a banker,0.876,0.089,0.035,entailment,Kwame is not a banker,0.900,0.076,0.025,entailment,0.047,0.043,0.055,0.098
598,Neither Inglethorp or Lamar is a librarian,Inglethorp is not a librarian,0.807,0.092,0.102,entailment,Lamar is not a librarian,0.791,0.083,0.126,entailment,0.049,Neither Lamar or Inglethorp is a librarian,Inglethorp is not a librarian,0.758,0.099,0.142,entailment,Lamar is not a librarian,0.864,0.094,0.042,entailment,0.212,0.096,0.169,0.265
599,Neither Jack or Kia is a lifeguard,Jack is not a lifeguard,0.845,0.101,0.054,entailment,Kia is not a lifeguard,0.639,0.126,0.236,entailment,0.413,Neither Kia or Jack is a lifeguard,Jack is not a lifeguard,0.784,0.128,0.088,entailment,Kia is not a lifeguard,0.780,0.105,0.115,entailment,0.053,0.123,0.282,0.405
600,Neither Essex or Juan is a janitor,Essex is not a janitor,0.891,0.080,0.029,entailment,Juan is not a janitor,0.706,0.094,0.200,entailment,0.370,Neither Juan or Essex is a janitor,Essex is not a janitor,0.837,0.104,0.059,entailment,Juan is not a janitor,0.834,0.092,0.074,entailment,0.031,0.108,0.255,0.363
